Title,Abstract,Publication Date,Link,Authors,Citations,Cleaned_Abstract,Abstract_NLTK,Abstract_Spacy
Artificial intelligence: a modern approach,"The long-anticipated revision of this #1 selling book offers the most comprehensive, state art introduction to theory and practice artificial intelligence for modern applications. Intelligent Agents. Solving Problems by Searching. Informed Search Methods. Game Playing. Agents that Reason Logically. First-order Logic. Building a Knowledge Base. Inference in First-Order Logical Reasoning Systems. Practical Planning. Planning Acting. Uncertainty. Probabilistic Making Simple Decisions. Complex Learning from Observations. with Neural Networks. Reinforcement Learning. Communicate. Communication English. Perception. Robotics. For computer professionals, linguists, cognitive scientists interested intelligence.",1995-11-01,https://doi.org/10.5860/choice.33-1577,"Stuart Russell, Peter Norvig",19179,The longanticipated revision of this 1 selling book offers the most comprehensive state art introduction to theory and practice artificial intelligence for modern applications Intelligent Agents Solving Problems by Searching Informed Search Methods Game Playing Agents that Reason Logically Firstorder Logic Building a Knowledge Base Inference in FirstOrder Logical Reasoning Systems Practical Planning Planning Acting Uncertainty Probabilistic Making Simple Decisions Complex Learning from Observations with Neural Networks Reinforcement Learning Communicate Communication English Perception Robotics For computer professionals linguists cognitive scientists interested intelligence,longanticip revis 1 sell book offer comprehens state art introduct theori practic artifici intellig modern applic intellig agent solv problem search inform search method game play agent reason logic firstord logic build knowledg base infer firstord logic reason system practic plan plan act uncertainti probabilist make simpl decis complex learn observ neural network reinforc learn commun commun english percept robot comput profession linguist cognit scientist interest intellig,longanticipate revision selling book offer comprehensive state art introduction theory practice artificial intelligence modern application intelligent agent solve problem search informed search method game play agent reason logically firstorder logic build knowledge base inference firstorder logical reasoning system practical planning planning act uncertainty probabilistic make simple decision complex learn observation neural network reinforcement learning communicate communication english perception robotic computer professional linguist cognitive scientist interested intelligence
Future paths for integer programming and links to artificial intelligence,"Integer programming has benefited from many innovations in models and methods. Some of the promising directions for elaborating these future may be viewed a framework that links perspectives artificial intelligence operations research. To demonstrate this, four key areas are examined: (1) controlled randomization, (2) learning strategies, (3) induced decomposition (4) tabu search. Each is shown to have characteristics appear usefully relevant developments on horizon.",1986-01-01,https://doi.org/10.1016/0305-0548(86)90048-1,Fred Glover,3849,Integer programming has benefited from many innovations in models and methods Some of the promising directions for elaborating these future may be viewed a framework that links perspectives artificial intelligence operations research To demonstrate this four key areas are examined 1 controlled randomization 2 learning strategies 3 induced decomposition 4 tabu search Each is shown to have characteristics appear usefully relevant developments on horizon,integ program benefit mani innov model method promis direct elabor futur may view framework link perspect artifici intellig oper research demonstr four key area examin 1 control random 2 learn strategi 3 induc decomposit 4 tabu search shown characterist appear use relev develop horizon,integer programming benefit innovation model method promising direction elaborate future view framework link perspective artificial intelligence operation research demonstrate key area examine control randomization learning strategy induce decomposition tabu search show characteristic appear usefully relevant development horizon
The Handbook of Artificial Intelligence,"Part 1 of a three volume set that contains some 200 articles on AI. Volume discusses the goals AI research, history field and current active areas research. It explains how book is organized, literature field. How to access journal technical reports for further reading",1982-01-01,https://doi.org/10.1016/c2013-0-07691-8,Boaz Avron,2121,Part 1 of a three volume set that contains some 200 articles on AI Volume discusses the goals AI research history field and current active areas research It explains how book is organized literature field How to access journal technical reports for further reading,part 1 three volum set contain 200 articl ai volum discuss goal ai research histori field current activ area research explain book organ literatur field access journal technic report read,volume set contain article ai volume discuss goal ai research history field current active area research explain book organize literature field access journal technical report reading
Some Philosophical Problems from the Standpoint of Artificial Intelligence,"Abstract A computer program capable of acting intelligently in the world must have a general representation terms which its inputs are interpreted. Designing such requires commitments about what knowledge is and how it obtained. Thus, some major traditional problems philosophy arise artificial intelligence. More specifically, we want that decides to do by inferring formal language certain strategy will achieve assigned goal. This formalizing concepts causality, ability, knowledge. Such formalisms also considered philosophical logic. The first part paper begins with point view seems naturally once take seriously idea actually making an intelligent machine. We go on notions metaphysically epistemo-logically adequate representations then explanation can, causes, knows system interacting automata. proposed resolution problem freewill deterministic universe counterfactual conditional sentences presented. second mainly concerned within can be proved Concepts situation, fluent, future operator, action, strategy, result formalized. method given constructing sentence first-order logic true all models axioms if only formalism this represents advance over McCarthy (1963) Green (1969) permits proof correctness strategies contain loops involve acquisition knowledge; somewhat more concise. third discusses open extending 2. fourth review work relation intelligence discussion previous efforts ‘general intelligence’ from paper.",1981-01-01,https://doi.org/10.1016/b978-0-934613-03-3.50033-7,"John McCarthy, Patrick J. Hayes",3158,Abstract A computer program capable of acting intelligently in the world must have a general representation terms which its inputs are interpreted Designing such requires commitments about what knowledge is and how it obtained Thus some major traditional problems philosophy arise artificial intelligence More specifically we want that decides to do by inferring formal language certain strategy will achieve assigned goal This formalizing concepts causality ability knowledge Such formalisms also considered philosophical logic The first part paper begins with point view seems naturally once take seriously idea actually making an intelligent machine We go on notions metaphysically epistemologically adequate representations then explanation can causes knows system interacting automata proposed resolution problem freewill deterministic universe counterfactual conditional sentences presented second mainly concerned within can be proved Concepts situation fluent future operator action strategy result formalized method given constructing sentence firstorder logic true all models axioms if only formalism this represents advance over McCarthy 1963 Green 1969 permits proof correctness strategies contain loops involve acquisition knowledge somewhat more concise third discusses open extending 2 fourth review work relation intelligence discussion previous efforts general intelligence from paper,abstract comput program capabl act intellig world must gener represent term input interpret design requir commit knowledg obtain thu major tradit problem philosophi aris artifici intellig specif want decid infer formal languag certain strategi achiev assign goal formal concept causal abil knowledg formal also consid philosoph logic first part paper begin point view seem natur take serious idea actual make intellig machin go notion metaphys epistemolog adequ represent explan caus know system interact automata propos resolut problem freewil determinist univers counterfactu condit sentenc present second mainli concern within prove concept situat fluent futur oper action strategi result formal method given construct sentenc firstord logic true model axiom formal repres advanc mccarthi 1963 green 1969 permit proof correct strategi contain loop involv acquisit knowledg somewhat concis third discuss open extend 2 fourth review work relat intellig discuss previou effort gener intellig paper,abstract computer program capable act intelligently world general representation term input interpret design require commitment knowledge obtain major traditional problem philosophy arise artificial intelligence specifically want decide infer formal language certain strategy achieve assign goal formalize concept causality ability knowledge formalism consider philosophical logic paper begin point view naturally seriously idea actually make intelligent machine notion metaphysically epistemologically adequate representation explanation cause know system interact automata propose resolution problem freewill deterministic universe counterfactual conditional sentence present second mainly concern prove concept situation fluent future operator action strategy result formalize method give construct sentence firstorder logic true model axiom formalism represent advance mccarthy green permit proof correctness strategy contain loop involve acquisition knowledge somewhat concise discuss open extend fourth review work relation intelligence discussion previous effort general intelligence paper
Artificial intelligence in radiology,"Artificial intelligence (AI) algorithms, particularly deep learning, have demonstrated remarkable progress in image-recognition tasks. Methods ranging from convolutional neural networks to variational autoencoders found myriad applications the medical image analysis field, propelling it forward at a rapid pace. Historically, radiology practice, trained physicians visually assessed images for detection, characterization and monitoring of diseases. AI methods excel automatically recognizing complex patterns imaging data providing quantitative, rather than qualitative, assessments radiographic characteristics. In this Opinion article, we establish general understanding methods, those pertaining image-based We explore how these could impact multiple facets radiology, with focus on oncology, demonstrate ways which are advancing field. Finally, discuss challenges facing clinical implementation provide our perspective domain be advanced. Hosny et al. application artificial tasks field consider advantages its implementation.",2018-05-17,https://doi.org/10.1038/s41568-018-0016-5,"Ahmed Hosny, Chintan Parmar, John Quackenbush, Lawrence H. Schwartz, Hugo J.W.L. Aerts",2416,Artificial intelligence AI algorithms particularly deep learning have demonstrated remarkable progress in imagerecognition tasks Methods ranging from convolutional neural networks to variational autoencoders found myriad applications the medical image analysis field propelling it forward at a rapid pace Historically radiology practice trained physicians visually assessed images for detection characterization and monitoring of diseases AI methods excel automatically recognizing complex patterns imaging data providing quantitative rather than qualitative assessments radiographic characteristics In this Opinion article we establish general understanding methods those pertaining imagebased We explore how these could impact multiple facets radiology with focus on oncology demonstrate ways which are advancing field Finally discuss challenges facing clinical implementation provide our perspective domain be advanced Hosny et al application artificial tasks field consider advantages its implementation,artifici intellig ai algorithm particularli deep learn demonstr remark progress imagerecognit task method rang convolut neural network variat autoencod found myriad applic medic imag analysi field propel forward rapid pace histor radiolog practic train physician visual assess imag detect character monitor diseas ai method excel automat recogn complex pattern imag data provid quantit rather qualit assess radiograph characterist opinion articl establish gener understand method pertain imagebas explor could impact multipl facet radiolog focu oncolog demonstr way advanc field final discuss challeng face clinic implement provid perspect domain advanc hosni et al applic artifici task field consid advantag implement,artificial intelligence ai algorithm particularly deep learning demonstrate remarkable progress imagerecognition task method range convolutional neural network variational autoencoder find myriad application medical image analysis field propel forward rapid pace historically radiology practice train physician visually assess image detection characterization monitoring disease ai method excel automatically recognize complex pattern image datum provide quantitative qualitative assessment radiographic characteristic opinion article establish general understanding method pertain imagebase explore impact multiple facet radiology focus oncology demonstrate way advance field finally discuss challenge face clinical implementation provide perspective domain advance hosny et al application artificial task field consider advantage implementation
"Artificial intelligence in healthcare: past, present and future","Artificial intelligence (AI) aims to mimic human cognitive functions. It is bringing a paradigm shift healthcare, powered by increasing availability of healthcare data and rapid progress analytics techniques. We survey the current status AI applications in discuss its future. can be applied various types (structured unstructured). Popular techniques include machine learning methods for structured data, such as classical support vector neural network, modern deep learning, well natural language processing unstructured data. Major disease areas that use tools cancer, neurology cardiology. then review more details stroke, three major early detection diagnosis, treatment, outcome prediction prognosis evaluation. conclude with discussion about pioneer systems, IBM Watson, hurdles real-life deployment AI.",2017-06-21,https://doi.org/10.1136/svn-2017-000101,"Fei Jiang, Yong Jiang, Hui Zhi, Yi Dong, Hao Li, Sufeng Ma, Yilong Wang, Qiang Dong, Haipeng Shen, Yongjun Wang",2692,Artificial intelligence AI aims to mimic human cognitive functions It is bringing a paradigm shift healthcare powered by increasing availability of healthcare data and rapid progress analytics techniques We survey the current status AI applications in discuss its future can be applied various types structured unstructured Popular techniques include machine learning methods for structured data such as classical support vector neural network modern deep learning well natural language processing unstructured data Major disease areas that use tools cancer neurology cardiology then review more details stroke three major early detection diagnosis treatment outcome prediction prognosis evaluation conclude with discussion about pioneer systems IBM Watson hurdles reallife deployment AI,artifici intellig ai aim mimic human cognit function bring paradigm shift healthcar power increas avail healthcar data rapid progress analyt techniqu survey current statu ai applic discuss futur appli variou type structur unstructur popular techniqu includ machin learn method structur data classic support vector neural network modern deep learn well natur languag process unstructur data major diseas area use tool cancer neurolog cardiolog review detail stroke three major earli detect diagnosi treatment outcom predict prognosi evalu conclud discuss pioneer system ibm watson hurdl reallif deploy ai,artificial intelligence ai aim mimic human cognitive function bring paradigm shift healthcare power increase availability healthcare datum rapid progress analytic technique survey current status ai application discuss future apply type structure unstructured popular technique include machine learning method structured datum classical support vector neural network modern deep learn natural language process unstructured datum major disease area use tool cancer neurology cardiology review detail stroke major early detection diagnosis treatment outcome prediction prognosis evaluation conclude discussion pioneer systems ibm watson hurdle reallife deployment ai
On artificial intelligence,An abstract is not available for this content so a preview has been provided. Please use the Get access link above information on how to content.,1985-07-01,https://doi.org/10.1017/s0140525x0002063x,Peter H. Schönemann,1501,An abstract is not available for this content so a preview has been provided Please use the Get access link above information on how to content,abstract avail content preview provid pleas use get access link inform content,abstract available content preview provide use access link information content
Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI),"At the dawn of fourth industrial revolution, we are witnessing a fast and widespread adoption artificial intelligence (AI) in our daily life, which contributes to accelerating shift towards more algorithmic society. However, even with such unprecedented advancements, key impediment use AI-based systems is that they often lack transparency. Indeed, black-box nature these allows powerful predictions, but it cannot be directly explained. This issue has triggered new debate on explainable AI (XAI). A research field holds substantial promise for improving trust transparency systems. It recognized as sine qua non continue making steady progress without disruption. survey provides an entry point interested researchers practitioners learn aspects young rapidly growing body related XAI. Through lens literature, review existing approaches regarding topic, discuss trends surrounding its sphere, present major trajectories.",2018-01-01,https://doi.org/10.1109/access.2018.2870052,"Amina Adadi, Mohammed Berrada",3607,At the dawn of fourth industrial revolution we are witnessing a fast and widespread adoption artificial intelligence AI in our daily life which contributes to accelerating shift towards more algorithmic society However even with such unprecedented advancements key impediment use AIbased systems is that they often lack transparency Indeed blackbox nature these allows powerful predictions but it cannot be directly explained This issue has triggered new debate on explainable AI XAI A research field holds substantial promise for improving trust transparency systems It recognized as sine qua non continue making steady progress without disruption survey provides an entry point interested researchers practitioners learn aspects young rapidly growing body related XAI Through lens literature review existing approaches regarding topic discuss trends surrounding its sphere present major trajectories,dawn fourth industri revolut wit fast widespread adopt artifici intellig ai daili life contribut acceler shift toward algorithm societi howev even unpreced advanc key impedi use aibas system often lack transpar inde blackbox natur allow power predict directli explain issu trigger new debat explain ai xai research field hold substanti promis improv trust transpar system recogn sine qua non continu make steadi progress without disrupt survey provid entri point interest research practition learn aspect young rapidli grow bodi relat xai len literatur review exist approach regard topic discuss trend surround sphere present major trajectori,dawn fourth industrial revolution witness fast widespread adoption artificial intelligence ai daily life contribute accelerate shift algorithmic society unprecedented advancement key impediment use aibase system lack transparency blackbox nature allow powerful prediction directly explain issue trigger new debate explainable ai xai research field hold substantial promise improve trust transparency system recognize sine qua non continue make steady progress disruption survey provide entry point interested researcher practitioner learn aspect young rapidly grow body relate xai lens literature review exist approach topic discuss trend surround sphere present major trajectory
Uncertainty in Artificial Intelligence,"Qualitative Probabilistic Reasoning and Cognitive Models. Exploiting Functional Dependencies in (M.P. Wellman). Propagation Scenario-Based Scheme for Explaining (M. Henrion, M.J. Druzdel). Propagating Uncertainty Rule Based Modeling (T.R. Shultz). Context-Dependent Similarity (Y. Cheng). Abductive KB Development. Networks the Construction of Multiple-Faults Belief (D. Heckerman). Separable Transitive Graphoids Geiger, D. Integrating Probabilistic, Taxonomic Causal Knowledge Diagnosis Lin, R. Goebel). What is Most Likely Poole, G.M. Provan). Evaluation Candidate Sets Multidisorder (T.D. Wu). Kutato: An Entropy-Driven System Expert Systems from Databases (E. Herskovits, G. Cooper). Problem Formulation Control Reasoning. Ideal Reformulation (J.S. Breese, E.J. Horvitz). Computationally-Optimal Real-Resource Strategies Independent, Uninterruptible Methods Einav, M.R. Fehling). as Reduction a Decision Model (D.E. Heckerman, Dynamic (R.P. Goldman, E. Charniak). A New Algorithm Finding MAP Assignments to (S.E. Shimony, Network Decomposition. Directed Algorithms Decomposable Graphs (R.D. Shachter, S.K. Andersen, K.L. Poh). Optimal Decomposition (W.X. Wen). Pruning Bayesian Efficient Computation Baker, T.E. Boult). On Heuristics Loop Cutsets Multiply-Connected (J. Stillman). Combination Cutset Conditioning with Clique-Tree Pathfinder (H.J. Suermondt, G.F. Cooper, D.E. Equivalence Synthesis Models (T.S. Verma, J. Pearl). Possibility Theory: Semantics Applications. Similarity: The Fuzzy Logic Ruspini). Case-Based Rule-Based Reasoning: Possibilistic Connection (S. Dutta, P.P. Bonissone). Credibility Discounting Theory Approximate (R.R. Yager). Updating Functions, Ordinal Conditional Functions Measures Dubois, H. Prade). Hierarchical Approach Designing Reasoning-Based Controllers Physical (H.R. Berenji, et al.). Dempster-Shafer: Graph Decomposition, FMT, Interpretations. Beliefs (R. Fagin, J.Y. Halpern). Transferable Other Interpretations Dempster-Shafer's (P. Smets). Valuation-Based Discrete Optimization (P.P. Shenoy). Computational Aspects Mobius Transformation Kennes, P. Using Dempster-Shafer Representation (A. Saffiotti).",1992-01-01,https://doi.org/10.1016/c2013-0-12606-2,"L. N. Kanal, J. F. Lemmer, Andrew P. Sage",1610,Qualitative Probabilistic Reasoning and Cognitive Models Exploiting Functional Dependencies in MP Wellman Propagation ScenarioBased Scheme for Explaining M Henrion MJ Druzdel Propagating Uncertainty Rule Based Modeling TR Shultz ContextDependent Similarity Y Cheng Abductive KB Development Networks the Construction of MultipleFaults Belief D Heckerman Separable Transitive Graphoids Geiger D Integrating Probabilistic Taxonomic Causal Knowledge Diagnosis Lin R Goebel What is Most Likely Poole GM Provan Evaluation Candidate Sets Multidisorder TD Wu Kutato An EntropyDriven System Expert Systems from Databases E Herskovits G Cooper Problem Formulation Control Reasoning Ideal Reformulation JS Breese EJ Horvitz ComputationallyOptimal RealResource Strategies Independent Uninterruptible Methods Einav MR Fehling as Reduction a Decision Model DE Heckerman Dynamic RP Goldman E Charniak A New Algorithm Finding MAP Assignments to SE Shimony Network Decomposition Directed Algorithms Decomposable Graphs RD Shachter SK Andersen KL Poh Optimal Decomposition WX Wen Pruning Bayesian Efficient Computation Baker TE Boult On Heuristics Loop Cutsets MultiplyConnected J Stillman Combination Cutset Conditioning with CliqueTree Pathfinder HJ Suermondt GF Cooper DE Equivalence Synthesis Models TS Verma J Pearl Possibility Theory Semantics Applications Similarity The Fuzzy Logic Ruspini CaseBased RuleBased Reasoning Possibilistic Connection S Dutta PP Bonissone Credibility Discounting Theory Approximate RR Yager Updating Functions Ordinal Conditional Functions Measures Dubois H Prade Hierarchical Approach Designing ReasoningBased Controllers Physical HR Berenji et al DempsterShafer Graph Decomposition FMT Interpretations Beliefs R Fagin JY Halpern Transferable Other Interpretations DempsterShafers P Smets ValuationBased Discrete Optimization PP Shenoy Computational Aspects Mobius Transformation Kennes P Using DempsterShafer Representation A Saffiotti,qualit probabilist reason cognit model exploit function depend mp wellman propag scenariobas scheme explain henrion mj druzdel propag uncertainti rule base model tr shultz contextdepend similar cheng abduct kb develop network construct multiplefault belief heckerman separ transit graphoid geiger integr probabilist taxonom causal knowledg diagnosi lin r goebel like pool gm provan evalu candid set multidisord td wu kutato entropydriven system expert system databas e herskovit g cooper problem formul control reason ideal reformul js brees ej horvitz computationallyoptim realresourc strategi independ uninterrupt method einav mr fehl reduct decis model de heckerman dynam rp goldman e charniak new algorithm find map assign se shimoni network decomposit direct algorithm decompos graph rd shachter sk andersen kl poh optim decomposit wx wen prune bayesian effici comput baker te boult heurist loop cutset multiplyconnect j stillman combin cutset condit cliquetre pathfind hj suermondt gf cooper de equival synthesi model ts verma j pearl possibl theori semant applic similar fuzzi logic ruspini casebas rulebas reason possibilist connect dutta pp bonisson credibl discount theori approxim rr yager updat function ordin condit function measur duboi h prade hierarch approach design reasoningbas control physic hr berenji et al dempstershaf graph decomposit fmt interpret belief r fagin jy halpern transfer interpret dempstershaf p smet valuationbas discret optim pp shenoy comput aspect mobiu transform kenn p use dempstershaf represent saffiotti,qualitative probabilistic reasoning cognitive model exploit functional dependency mp wellman propagation scenariobase scheme explain m henrion mj druzdel propagate uncertainty rule base model tr shultz contextdependent similarity y cheng abductive kb development network construction multiplefault belief d heckerman separable transitive graphoid geiger d integrate probabilistic taxonomic causal knowledge diagnosis lin r goebel likely poole gm provan evaluation candidate set multidisorder td wu kutato entropydriven system expert system database e herskovit g cooper problem formulation control reasoning ideal reformulation js breese ej horvitz computationallyoptimal realresource strategy independent uninterruptible method einav mr fehling reduction decision model de heckerman dynamic rp goldman e charniak new algorithm find map assignment se shimony network decomposition direct algorithm decomposable graph rd shachter sk andersen kl poh optimal decomposition wx wen pruning bayesian efficient computation baker te boult heuristics loop cutset multiplyconnecte j stillman combination cutset conditioning cliquetree pathfinder hj suermondt gf cooper de equivalence synthesis model ts verma j pearl possibility theory semantic application similarity fuzzy logic ruspini casebase rulebase reasoning possibilistic connection s dutta pp bonissone credibility discount theory approximate rr yager updating function ordinal conditional function measure dubois h prade hierarchical approach design reasoningbase controller physical hr berenji et al dempstershafer graph decomposition fmt interpretation belief r fagin jy halpern transferable interpretation dempstershafer p smet valuationbase discrete optimization pp shenoy computational aspect mobius transformation kenne p dempstershafer representation saffiotti
Explanation in artificial intelligence: Insights from the social sciences,"There has been a recent resurgence in the area of explainable artificial intelligence as researchers and practitioners seek to provide more transparency their algorithms. Much this research is focused on explicitly explaining decisions or actions human observer, it should not be controversial say that looking at how humans explain each other can serve useful starting point for explanation intelligence. However, fair most work uses only researchers' intuition what constitutes ‘good’ explanation. exist vast valuable bodies philosophy, psychology, cognitive science people define, generate, select, evaluate, present explanations, which argues employ certain biases social expectations process. This paper field build existing research, reviews relevant papers from psychology/science, study these topics. It draws out some important findings, discusses ways infused with",2019-02-01,https://doi.org/10.1016/j.artint.2018.07.007,Tim Miller,3079,There has been a recent resurgence in the area of explainable artificial intelligence as researchers and practitioners seek to provide more transparency their algorithms Much this research is focused on explicitly explaining decisions or actions human observer it should not be controversial say that looking at how humans explain each other can serve useful starting point for explanation intelligence However fair most work uses only researchers intuition what constitutes good explanation exist vast valuable bodies philosophy psychology cognitive science people define generate select evaluate present explanations which argues employ certain biases social expectations process This paper field build existing research reviews relevant papers from psychologyscience study these topics It draws out some important findings discusses ways infused with,recent resurg area explain artifici intellig research practition seek provid transpar algorithm much research focus explicitli explain decis action human observ controversi say look human explain serv use start point explan intellig howev fair work use research intuit constitut good explan exist vast valuabl bodi philosophi psycholog cognit scienc peopl defin gener select evalu present explan argu employ certain bias social expect process paper field build exist research review relev paper psychologysci studi topic draw import find discuss way infus,recent resurgence area explainable artificial intelligence researcher practitioner seek provide transparency algorithm research focus explicitly explain decision action human observer controversial look human explain serve useful starting point explanation intelligence fair work use researcher intuition constitute good explanation exist vast valuable body philosophy psychology cognitive science people define generate select evaluate present explanation argue employ certain bias social expectation process paper field build exist research review relevant paper psychologyscience study topic draw important finding discuss way infuse
