Title,Abstract,Publication Date,Link,Authors,Citations,Cleaned_Abstract,Abstract_NLTK,Abstract_Spacy
A Survey of Data Mining and Machine Learning Methods for Cyber Security Intrusion Detection,"This survey paper describes a focused literature of machine learning (ML) and data mining (DM) methods for cyber analytics in support intrusion detection. Short tutorial descriptions each ML/DM method are provided. Based on the number citations or relevance an emerging method, papers representing were identified, read, summarized. Because so important approaches, some well-known sets used described. The complexity algorithms is addressed, discussion challenges using security presented, recommendations when to use given",2016-01-01,https://doi.org/10.1109/comst.2015.2494502,"Anna L. Buczak, Erhan Guven",2301,This survey paper describes a focused literature of machine learning ML and data mining DM methods for cyber analytics in support intrusion detection Short tutorial descriptions each MLDM method are provided Based on the number citations or relevance an emerging method papers representing were identified read summarized Because so important approaches some wellknown sets used described The complexity algorithms is addressed discussion challenges using security presented recommendations when to use given,survey paper describ focus literatur machin learn ml data mine dm method cyber analyt support intrus detect short tutori descript mldm method provid base number citat relev emerg method paper repres identifi read summar import approach wellknown set use describ complex algorithm address discuss challeng use secur present recommend use given,survey paper describe focused literature machine learn ml datum mining dm method cyber analytic support intrusion detection short tutorial description mldm method provide base number citation relevance emerge method paper represent identify read summarize important approach wellknown set describe complexity algorithm address discussion challenge security present recommendation use give
Cyber security in the Smart Grid: Survey and challenges,"The Smart Grid, generally referred to as the next-generation power system, is considered a revolutionary and evolutionary regime of existing grids. More importantly, with integration advanced computing communication technologies, Grid expected greatly enhance efficiency reliability future systems renewable energy resources, well distributed intelligence demand response. Along silent features cyber security emerges be critical issue because millions electronic devices are inter-connected via networks throughout facilities, which has an immediate impact on such widespread infrastructure. In this paper, we present comprehensive survey issues for Grid. Specifically, focus reviewing discussing requirements, network vulnerabilities, attack countermeasures, secure protocols architectures in We aim provide deep understanding vulnerabilities solutions shed light research directions security.",2013-04-01,https://doi.org/10.1016/j.comnet.2012.12.017,"Wenye Wang, Zhuo Lu",1003,The Smart Grid generally referred to as the nextgeneration power system is considered a revolutionary and evolutionary regime of existing grids More importantly with integration advanced computing communication technologies Grid expected greatly enhance efficiency reliability future systems renewable energy resources well distributed intelligence demand response Along silent features cyber security emerges be critical issue because millions electronic devices are interconnected via networks throughout facilities which has an immediate impact on such widespread infrastructure In this paper we present comprehensive survey issues for Grid Specifically focus reviewing discussing requirements network vulnerabilities attack countermeasures secure protocols architectures in We aim provide deep understanding vulnerabilities solutions shed light research directions security,smart grid gener refer nextgener power system consid revolutionari evolutionari regim exist grid importantli integr advanc comput commun technolog grid expect greatli enhanc effici reliabl futur system renew energi resourc well distribut intellig demand respons along silent featur cyber secur emerg critic issu million electron devic interconnect via network throughout facil immedi impact widespread infrastructur paper present comprehens survey issu grid specif focu review discuss requir network vulner attack countermeasur secur protocol architectur aim provid deep understand vulner solut shed light research direct secur,smart grid generally refer nextgeneration power system consider revolutionary evolutionary regime exist grid importantly integration advanced compute communication technology grid expect greatly enhance efficiency reliability future system renewable energy resource distribute intelligence demand response silent feature cyber security emerge critical issue million electronic device interconnect network facility immediate impact widespread infrastructure paper present comprehensive survey issue grid specifically focus review discuss requirement network vulnerability attack countermeasure secure protocol architecture aim provide deep understanding vulnerability solution shed light research direction security
From information security to cyber security,"The term cyber security is often used interchangeably with the information security. This paper argues that, although there a substantial overlap between and security, these two concepts are not totally analogous. Moreover, posits that goes beyond boundaries of traditional to include only protection resources, but also other assets, including person him/herself. In reference human factor usually relates role(s) humans in process. this has an additional dimension, namely, as potential targets attacks or even unknowingly participating attack. dimension ethical implications for society whole, since certain vulnerable groups, example children, could be seen societal responsibility.",2013-10-01,https://doi.org/10.1016/j.cose.2013.04.004,"Rossouw von Solms, Johan Van Niekerk",778,The term cyber security is often used interchangeably with the information security This paper argues that although there a substantial overlap between and security these two concepts are not totally analogous Moreover posits that goes beyond boundaries of traditional to include only protection resources but also other assets including person himherself In reference human factor usually relates roles humans in process this has an additional dimension namely as potential targets attacks or even unknowingly participating attack dimension ethical implications for society whole since certain vulnerable groups example children could be seen societal responsibility,term cyber secur often use interchang inform secur paper argu although substanti overlap secur two concept total analog moreov posit goe beyond boundari tradit includ protect resourc also asset includ person himherself refer human factor usual relat role human process addit dimens name potenti target attack even unknowingli particip attack dimens ethic implic societi whole sinc certain vulner group exampl children could seen societ respons,term cyber security interchangeably information security paper argue substantial overlap security concept totally analogous posit go boundary traditional include protection resource asset include person himherself reference human factor usually relate role human process additional dimension potential target attack unknowingly participate attack dimension ethical implication society certain vulnerable group example child see societal responsibility
A Survey on Cyber Security for Smart Grid Communications,"A smart grid is a new form of electricity network with high fidelity power-flow control, self-healing, and energy reliability security using digital communications control technology. To upgrade an existing power into grid, it requires significant dependence on intelligent secure communication infrastructures. It frameworks for distributed communications, pervasive computing sensing technologies in grid. However, as many the currently recommended to use by vulnerable cyber security, could lead unreliable system operations, causing unnecessary expenditure, even consequential disaster both utilities consumers. In this paper, we summarize requirements possible vulnerabilities survey current solutions communications.",2012-01-01,https://doi.org/10.1109/surv.2012.010912.00035,"Yan Ye, Yi Qian, Hamid Sharif, David Tipper",632,A smart grid is a new form of electricity network with high fidelity powerflow control selfhealing and energy reliability security using digital communications control technology To upgrade an existing power into grid it requires significant dependence on intelligent secure communication infrastructures It frameworks for distributed communications pervasive computing sensing technologies in grid However as many the currently recommended to use by vulnerable cyber security could lead unreliable system operations causing unnecessary expenditure even consequential disaster both utilities consumers In this paper we summarize requirements possible vulnerabilities survey current solutions communications,smart grid new form electr network high fidel powerflow control selfheal energi reliabl secur use digit commun control technolog upgrad exist power grid requir signific depend intellig secur commun infrastructur framework distribut commun pervas comput sens technolog grid howev mani current recommend use vulner cyber secur could lead unreli system oper caus unnecessari expenditur even consequenti disast util consum paper summar requir possibl vulner survey current solut commun,smart grid new form electricity network high fidelity powerflow control selfhealing energy reliability security digital communication control technology upgrade exist power grid require significant dependence intelligent secure communication infrastructure framework distribute communication pervasive computing sensing technology grid currently recommend use vulnerable cyber security lead unreliable system operation cause unnecessary expenditure consequential disaster utilitie consumer paper summarize requirement possible vulnerability survey current solution communication
Cyber Security and Privacy Issues in Smart Grids,"Smart grid is a promising power delivery infrastructure integrated with communication and information technologies. Its bi-directional electricity flow enable both utilities customers to monitor, predict, manage energy usage. It also advances environmental sustainability through the integration of vast distributed resources. Deploying such green electric system has enormous far-reaching economic social benefits. Nevertheless, increased interconnection introduce cyber-vulnerabilities into grid. Failure address these problems will hinder modernization existing system. In order build reliable smart grid, an overview relevant cyber security privacy issues presented. Based on current literatures, several potential research fields are discussed at end this paper.",2012-01-01,https://doi.org/10.1109/surv.2011.122111.00145,"Jing Liu, Yang Xiao, Shuhui Li, Wei Liang, C. L. Philip Chen",527,Smart grid is a promising power delivery infrastructure integrated with communication and information technologies Its bidirectional electricity flow enable both utilities customers to monitor predict manage energy usage It also advances environmental sustainability through the integration of vast distributed resources Deploying such green electric system has enormous farreaching economic social benefits Nevertheless increased interconnection introduce cybervulnerabilities into grid Failure address these problems will hinder modernization existing system In order build reliable smart grid an overview relevant cyber security privacy issues presented Based on current literatures several potential research fields are discussed at end this paper,smart grid promis power deliveri infrastructur integr commun inform technolog bidirect electr flow enabl util custom monitor predict manag energi usag also advanc environment sustain integr vast distribut resourc deploy green electr system enorm farreach econom social benefit nevertheless increas interconnect introduc cybervulner grid failur address problem hinder modern exist system order build reliabl smart grid overview relev cyber secur privaci issu present base current literatur sever potenti research field discuss end paper,smart grid promising power delivery infrastructure integrate communication information technology bidirectional electricity flow enable utility customer monitor predict manage energy usage advance environmental sustainability integration vast distribute resource deploy green electric system enormous farreache economic social benefit increase interconnection introduce cybervulnerabilitie grid failure address problem hinder modernization exist system order build reliable smart grid overview relevant cyber security privacy issue present base current literature potential research field discuss end paper
"Cyber Security and the Internet of Things: Vulnerabilities, Threats, Intruders and Attacks","Internet of Things (IoT) devices are rapidly becoming ubiquitous while IoT services pervasive.Their success has not gone unnoticed and the number threats attacks against on increase as well.Cyber-attacks new to IoT, but will be deeply interwoven in our lives societies, it is necessary step up take cyber defense seriously.Hence, there a real need secure which consequently resulted comprehensively understand infrastructure.This paper an attempt classify threat types, besides analyze characterize intruders facing services.",2015-01-01,https://doi.org/10.13052/jcsm2245-1439.414,"Mohamed Abomhara, Geir M. K�ien",530,Internet of Things IoT devices are rapidly becoming ubiquitous while IoT services pervasiveTheir success has not gone unnoticed and the number threats attacks against on increase as wellCyberattacks new to IoT but will be deeply interwoven in our lives societies it is necessary step up take cyber defense seriouslyHence there a real need secure which consequently resulted comprehensively understand infrastructureThis paper an attempt classify threat types besides analyze characterize intruders facing services,internet thing iot devic rapidli becom ubiquit iot servic pervasivetheir success gone unnot number threat attack increas wellcyberattack new iot deepli interwoven live societi necessari step take cyber defens seriouslyh real need secur consequ result comprehens understand infrastructurethi paper attempt classifi threat type besid analyz character intrud face servic,internet thing iot device rapidly ubiquitous iot service pervasivetheir success go unnoticed number threat attack increase wellcyberattack new iot deeply interwoven life society necessary step cyber defense seriouslyhence real need secure consequently result comprehensively understand infrastructurethis paper attempt classify threat type analyze characterize intruder face service
A systematic literature review of blockchain cyber security,"Since the publication of Satoshi Nakamoto's white paper on Bitcoin in 2008, blockchain has (slowly) become one most frequently discussed methods for securing data storage and transfer through decentralized, trustless, peer-to-peer systems. This research identifies peer-reviewed literature that seeks to utilize cyber security purposes presents a systematic analysis adopted applications. Our findings show Internet Things (IoT) lends itself well novel applications, as do networks machine visualization, public-key cryptography, web certification schemes secure Personally Identifiable Information (PII). timely review also sheds light future directions research, education practices space, such IoT, AI data, sidechain security.",2020-05-01,https://doi.org/10.1016/j.dcan.2019.01.005,"Paul J. Taylor, Tooska Dargahi, Ali Dehghantanha, Reza M. Parizi, Kim–Kwang Raymond Choo",501,Since the publication of Satoshi Nakamotos white paper on Bitcoin in 2008 blockchain has slowly become one most frequently discussed methods for securing data storage and transfer through decentralized trustless peertopeer systems This research identifies peerreviewed literature that seeks to utilize cyber security purposes presents a systematic analysis adopted applications Our findings show Internet Things IoT lends itself well novel applications as do networks machine visualization publickey cryptography web certification schemes secure Personally Identifiable Information PII timely review also sheds light future directions research education practices space such IoT AI data sidechain security,sinc public satoshi nakamoto white paper bitcoin 2008 blockchain slowli becom one frequent discuss method secur data storag transfer decentr trustless peertop system research identifi peerreview literatur seek util cyber secur purpos present systemat analysi adopt applic find show internet thing iot lend well novel applic network machin visual publickey cryptographi web certif scheme secur person identifi inform pii time review also shed light futur direct research educ practic space iot ai data sidechain secur,publication satoshi nakamotos white paper bitcoin blockchain slowly frequently discuss method secure data storage transfer decentralized trustless peertopeer system research identifie peerreviewe literature seek utilize cyber security purpose present systematic analysis adopt application finding internet thing iot lend novel application network machine visualization publickey cryptography web certification scheme secure personally identifiable information pii timely review shed light future direction research education practice space iot ai data sidechain security
"Digital Disaster, Cyber Security, and the Copenhagen School","This article is devoted to an analysis of cyber security, a concept that arrived on the post-Cold War agenda in response mixture technological innovations and changing geopolitical conditions. Adopting framework securitization theory, theorizes security as distinct sector with particular constellation threats referent objects. It held “network security” “individual are significant objects, but their political importance arises from connections collective objects “the state,”“society,”“the nation,” economy.” These articulated threatened through three forms securitizations: hypersecuritization, everyday practices, technifications. The applicability theoretical then shown case-study what has been labeled first war space against Estonian public commercial institutions 2007.",2009-12-01,https://doi.org/10.1111/j.1468-2478.2009.00572.x,"Lene Hansen, Helen Nissenbaum",353,This article is devoted to an analysis of cyber security a concept that arrived on the postCold War agenda in response mixture technological innovations and changing geopolitical conditions Adopting framework securitization theory theorizes security as distinct sector with particular constellation threats referent objects It held network security individual are significant objects but their political importance arises from connections collective objects the statesocietythe nation economy These articulated threatened through three forms securitizations hypersecuritization everyday practices technifications The applicability theoretical then shown casestudy what has been labeled first war space against Estonian public commercial institutions 2007,articl devot analysi cyber secur concept arriv postcold war agenda respons mixtur technolog innov chang geopolit condit adopt framework securit theori theoriz secur distinct sector particular constel threat refer object held network secur individu signific object polit import aris connect collect object statesocietyth nation economi articul threaten three form securit hypersecurit everyday practic technif applic theoret shown casestudi label first war space estonian public commerci institut 2007,article devoted analysis cyber security concept arrive postcold war agenda response mixture technological innovation change geopolitical condition adopt framework securitization theory theorize security distinct sector particular constellation threat referent object hold network security individual significant object political importance arise connection collective object statesocietythe nation economy articulate threaten form securitization hypersecuritization everyday practice technification applicability theoretical show casestudy label war space estonian public commercial institution
"Cyber security challenges in Smart Cities: Safety, security and privacy","The world is experiencing an evolution of Smart Cities. These emerge from innovations in information technology that, while they create new economic and social opportunities, pose challenges to our security expectations privacy. Humans are already interconnected via smart phones gadgets. energy meters, devices appliances being used many cities. Homes, cars, public venues other systems now on their path the full connectivity known as ""Internet Things."" Standards evolving for all these potentially connected systems. They will lead unprecedented improvements quality life. To benefit them, city infrastructures services changing with monitoring, control automation. Intelligent transportation, private, access a web data GPS location weather traffic updates. Integrated aid safety, emergency responders disaster recovery. We examine two important entangled challenges: Security includes illegal attacks causing physical disruptions service availability. As digital citizens more instrumented available about activities, privacy seems disappear. Privacy protecting that gather trigger response when needed technological go hand-in-hand continuous challenges. Their implementation essential City which we would wish live. also present model representing interactions between person, servers things. Those major element what need protect.",2014-07-01,https://doi.org/10.1016/j.jare.2014.02.006,"Adel Elmaghraby, Michael Losavio",416,The world is experiencing an evolution of Smart Cities These emerge from innovations in information technology that while they create new economic and social opportunities pose challenges to our security expectations privacy Humans are already interconnected via smart phones gadgets energy meters devices appliances being used many cities Homes cars public venues other systems now on their path the full connectivity known as Internet Things Standards evolving for all these potentially connected systems They will lead unprecedented improvements quality life To benefit them city infrastructures services changing with monitoring control automation Intelligent transportation private access a web data GPS location weather traffic updates Integrated aid safety emergency responders disaster recovery We examine two important entangled challenges Security includes illegal attacks causing physical disruptions service availability As digital citizens more instrumented available about activities privacy seems disappear Privacy protecting that gather trigger response when needed technological go handinhand continuous challenges Their implementation essential City which we would wish live also present model representing interactions between person servers things Those major element what need protect,world experienc evolut smart citi emerg innov inform technolog creat new econom social opportun pose challeng secur expect privaci human alreadi interconnect via smart phone gadget energi meter devic applianc use mani citi home car public venu system path full connect known internet thing standard evolv potenti connect system lead unpreced improv qualiti life benefit citi infrastructur servic chang monitor control autom intellig transport privat access web data gp locat weather traffic updat integr aid safeti emerg respond disast recoveri examin two import entangl challeng secur includ illeg attack caus physic disrupt servic avail digit citizen instrument avail activ privaci seem disappear privaci protect gather trigger respons need technolog go handinhand continu challeng implement essenti citi would wish live also present model repres interact person server thing major element need protect,world experience evolution smart city emerge innovation information technology create new economic social opportunity pose challenge security expectation privacy human interconnect smart phone gadget energy meter device appliance city home car public venue system path connectivity know internet thing standard evolve potentially connect system lead unprecedented improvement quality life benefit city infrastructure service change monitor control automation intelligent transportation private access web datum gps location weather traffic update integrate aid safety emergency responder disaster recovery examine important entangled challenge security include illegal attack cause physical disruption service availability digital citizen instrumented available activity privacy disappear privacy protect gather trigger response need technological handinhand continuous challenge implementation essential city wish live present model represent interaction person server thing major element need protect
A review of cyber security risk assessment methods for SCADA systems,"This paper reviews the state of art in cyber security risk assessment Supervisory Control and Data Acquisition (SCADA) systems. We select in-detail examine twenty-four methods developed for or applied context a SCADA system. describe essence then analyse them terms aim; application domain; stages management addressed; key concepts covered; impact measurement; sources probabilistic data; evaluation tool support. Based on analysis, we suggest an intuitive scheme categorisation also outline five research challenges facing domain point out approaches that might be taken.",2016-02-01,https://doi.org/10.1016/j.cose.2015.09.009,"Yulia Cherdantseva, Pete Burnap, Andrew Blyth, Peter Eden, Kevin Jones, Hugh Soulsby, Kristan Stoddart",486,This paper reviews the state of art in cyber security risk assessment Supervisory Control and Data Acquisition SCADA systems We select indetail examine twentyfour methods developed for or applied context a SCADA system describe essence then analyse them terms aim application domain stages management addressed key concepts covered impact measurement sources probabilistic data evaluation tool support Based on analysis we suggest an intuitive scheme categorisation also outline five research challenges facing domain point out approaches that might be taken,paper review state art cyber secur risk assess supervisori control data acquisit scada system select indetail examin twentyfour method develop appli context scada system describ essenc analys term aim applic domain stage manag address key concept cover impact measur sourc probabilist data evalu tool support base analysi suggest intuit scheme categoris also outlin five research challeng face domain point approach might taken,paper review state art cyber security risk assessment supervisory control datum acquisition scada system select indetail examine twentyfour method develop apply context scada system describe essence analyse term aim application domain stage management address key concept cover impact measurement source probabilistic datum evaluation tool support base analysis suggest intuitive scheme categorisation outline research challenge face domain point approach take
