Title,Abstract,Publication Date,Link,Authors,Citations,Cleaned_Abstract,Abstract_NLTK,Abstract_Spacy
"Internet of Things (IoT): A vision, architectural elements, and future directions","Ubiquitous sensing enabled by Wireless Sensor Network (WSN) technologies cuts across many areas of modern day living. This offers the ability to measure, infer and understand environmental indicators, from delicate ecologies natural resources urban environments. The proliferation these devices in a communicating-actuating network creates Internet Things (IoT), wherein sensors actuators blend seamlessly with environment around us, information is shared platforms order develop common operating picture (COP). Fueled recent adaptation variety enabling wireless such as RFID tags embedded sensor actuator nodes, IoT has stepped out its infancy next revolutionary technology transforming into fully integrated Future Internet. As we move www (static pages web) web2 (social networking web3 (ubiquitous computing web), need for data-on-demand using sophisticated intuitive queries increases significantly. paper presents Cloud centric vision worldwide implementation Things. key application domains that are likely drive research near future discussed. A Aneka, which based on interaction private public Clouds presented. We conclude our expanding convergence WSN, distributed directed at technological community.",2013-09-01,https://doi.org/10.1016/j.future.2013.01.010,"Jayavardhana Gubbi, Rajkumar Buyya, Slaven Marusic, Marimuthu Palaniswami",10504,Ubiquitous sensing enabled by Wireless Sensor Network WSN technologies cuts across many areas of modern day living This offers the ability to measure infer and understand environmental indicators from delicate ecologies natural resources urban environments The proliferation these devices in a communicatingactuating network creates Internet Things IoT wherein sensors actuators blend seamlessly with environment around us information is shared platforms order develop common operating picture COP Fueled recent adaptation variety enabling wireless such as RFID tags embedded sensor actuator nodes IoT has stepped out its infancy next revolutionary technology transforming into fully integrated Future Internet As we move www static pages web web2 social networking web3 ubiquitous computing web need for dataondemand using sophisticated intuitive queries increases significantly paper presents Cloud centric vision worldwide implementation Things key application domains that are likely drive research near future discussed A Aneka which based on interaction private public Clouds presented We conclude our expanding convergence WSN distributed directed at technological community,ubiquit sens enabl wireless sensor network wsn technolog cut across mani area modern day live offer abil measur infer understand environment indic delic ecolog natur resourc urban environ prolifer devic communicatingactu network creat internet thing iot wherein sensor actuat blend seamlessli environ around us inform share platform order develop common oper pictur cop fuel recent adapt varieti enabl wireless rfid tag embed sensor actuat node iot step infanc next revolutionari technolog transform fulli integr futur internet move www static page web web2 social network web3 ubiquit comput web need dataondemand use sophist intuit queri increas significantli paper present cloud centric vision worldwid implement thing key applic domain like drive research near futur discuss aneka base interact privat public cloud present conclud expand converg wsn distribut direct technolog commun,ubiquitous sensing enable wireless sensor network wsn technology cut area modern day live offer ability measure infer understand environmental indicator delicate ecology natural resource urban environment proliferation device communicatingactuate network create internet thing iot sensor actuator blend seamlessly environment information share platform order develop common operate picture cop fuel recent adaptation variety enable wireless rfid tag embed sensor actuator nodes iot step infancy revolutionary technology transform fully integrated future internet www static page web social networking ubiquitous computing web need dataondemand sophisticated intuitive query increase significantly paper present cloud centric vision worldwide implementation thing key application domain likely drive research near future discuss aneka base interaction private public cloud present conclude expand convergence wsn distribute direct technological community
"The Internet of Things (IoT): Applications, investments, and challenges for enterprises","The Internet of Things (IoT), also called the Everything or Industrial Internet, is a new technology paradigm envisioned as global network machines and devices capable interacting with each other. IoT recognized one most important areas future gaining vast attention from wide range industries. This article presents five technologies that are essential in deployment successful IoT-based products services discusses three categories for enterprise applications used to enhance customer value. In addition, it examines net present value method real option approach widely justification projects illustrates how can be applied investment. Finally, this technical managerial challenges.",2015-07-01,https://doi.org/10.1016/j.bushor.2015.03.008,"In Lee, Kyoochun Lee",2312,The Internet of Things IoT also called the Everything or Industrial Internet is a new technology paradigm envisioned as global network machines and devices capable interacting with each other IoT recognized one most important areas future gaining vast attention from wide range industries This article presents five technologies that are essential in deployment successful IoTbased products services discusses three categories for enterprise applications used to enhance customer value In addition it examines net present value method real option approach widely justification projects illustrates how can be applied investment Finally this technical managerial challenges,internet thing iot also call everyth industri internet new technolog paradigm envis global network machin devic capabl interact iot recogn one import area futur gain vast attent wide rang industri articl present five technolog essenti deploy success iotbas product servic discuss three categori enterpris applic use enhanc custom valu addit examin net present valu method real option approach wide justif project illustr appli invest final technic manageri challeng,internet thing iot call industrial internet new technology paradigm envision global network machine device capable interact iot recognize important area future gain vast attention wide range industry article present technology essential deployment successful iotbase product service discuss category enterprise application enhance customer value addition examine net present value method real option approach widely justification project illustrate apply investment finally technical managerial challenge
Fog and IoT: An Overview of Research Opportunities,"Fog is an emergent architecture for computing, storage, control, and networking that distributes these services closer to end users along the cloud-to-things continuum. It covers both mobile wireline scenarios, traverses across hardware software, resides on network edge but also over access networks among users, includes data plane control plane. As architecture, it supports a growing variety of applications, including those in Internet Things (IoT), fifth-generation (5G) wireless systems, embedded artificial intelligence (AI). This survey paper summarizes opportunities challenges fog, focusing primarily context IoT.",2016-12-01,https://doi.org/10.1109/jiot.2016.2584538,"Mung Chiang, Tao Zhang",2067,Fog is an emergent architecture for computing storage control and networking that distributes these services closer to end users along the cloudtothings continuum It covers both mobile wireline scenarios traverses across hardware software resides on network edge but also over access networks among users includes data plane control plane As architecture it supports a growing variety of applications including those in Internet Things IoT fifthgeneration 5G wireless systems embedded artificial intelligence AI This survey paper summarizes opportunities challenges fog focusing primarily context IoT,fog emerg architectur comput storag control network distribut servic closer end user along cloudtoth continuum cover mobil wirelin scenario travers across hardwar softwar resid network edg also access network among user includ data plane control plane architectur support grow varieti applic includ internet thing iot fifthgener 5g wireless system embed artifici intellig ai survey paper summar opportun challeng fog focus primarili context iot,fog emergent architecture compute storage control networking distribute service close end user cloudtothing continuum cover mobile wireline scenario traverse hardware software reside network edge access network user include data plane control plane architecture support grow variety application include internet thing iot fifthgeneration g wireless system embed artificial intelligence ai survey paper summarize opportunity challenge fog focus primarily context iot
Internet of Things (IoT): A Literature Review,"One of the buzzwords in Information Technology is Internet Things (IoT). The future Things, which will transform real world objects into intelligent virtual objects. IoT aims to unify everything our under a common infrastructure, giving us not only control things around us, but also keeping informed state things. In Light this, present study addresses concepts through systematic review scholarly research papers, corporate white professional discussions with experts and online databases. Moreover this article focuses on definitions, geneses, basic requirements, characteristics aliases Things. main objective paper provide an overview architectures, vital technologies their usages daily life. However, manuscript give good comprehension for new researchers, who want do field (Technological GOD) facilitate knowledge accumulation efficiently.",2015-01-01,https://doi.org/10.4236/jcc.2015.35021,"Somayya Madakam, R. Ramaswamy, Siddharth Tripathi",1516,One of the buzzwords in Information Technology is Internet Things IoT The future Things which will transform real world objects into intelligent virtual objects IoT aims to unify everything our under a common infrastructure giving us not only control things around us but also keeping informed state things In Light this present study addresses concepts through systematic review scholarly research papers corporate white professional discussions with experts and online databases Moreover this article focuses on definitions geneses basic requirements characteristics aliases Things main objective paper provide an overview architectures vital technologies their usages daily life However manuscript give good comprehension for new researchers who want do field Technological GOD facilitate knowledge accumulation efficiently,one buzzword inform technolog internet thing iot futur thing transform real world object intellig virtual object iot aim unifi everyth common infrastructur give us control thing around us also keep inform state thing light present studi address concept systemat review scholarli research paper corpor white profession discuss expert onlin databas moreov articl focus definit genes basic requir characterist alias thing main object paper provid overview architectur vital technolog usag daili life howev manuscript give good comprehens new research want field technolog god facilit knowledg accumul effici,buzzword information technology internet thing iot future thing transform real world object intelligent virtual object iot aim unify common infrastructure give control thing keep informed state thing light present study address concept systematic review scholarly research paper corporate white professional discussion expert online database article focus definition genese basic requirement characteristic alias thing main objective paper provide overview architecture vital technology usage daily life manuscript good comprehension new researcher want field technological god facilitate knowledge accumulation efficiently
"IoT security: Review, blockchain solutions, and open challenges","With the advent of smart homes, cities, and everything, Internet Things (IoT) has emerged as an area incredible impact, potential, growth, with Cisco Inc. predicting to have 50 billion connected devices by 2020. However, most these IoT are easy hack compromise. Typically, limited in compute, storage, network capacity, therefore they more vulnerable attacks than other endpoint such smartphones, tablets, or computers. In this paper, we present survey major security issues for IoT. We review categorize popular regard layered architecture, addition protocols used networking, communication, management. outline requirements along existing attacks, threats, state-of-the-art solutions. Furthermore, tabulate map problems against solutions found literature. More importantly, discuss, how blockchain, which is underlying technology bitcoin, can be a key enabler solve many problems. The paper also identifies open research challenges security.",2018-05-01,https://doi.org/10.1016/j.future.2017.11.022,"Minhaj Ahmad Khan, Khaled Salah",2043,With the advent of smart homes cities and everything Internet Things IoT has emerged as an area incredible impact potential growth with Cisco Inc predicting to have 50 billion connected devices by 2020 However most these IoT are easy hack compromise Typically limited in compute storage network capacity therefore they more vulnerable attacks than other endpoint such smartphones tablets or computers In this paper we present survey major security issues for IoT We review categorize popular regard layered architecture addition protocols used networking communication management outline requirements along existing attacks threats stateoftheart solutions Furthermore tabulate map problems against solutions found literature More importantly discuss how blockchain which is underlying technology bitcoin can be a key enabler solve many problems The paper also identifies open research challenges security,advent smart home citi everyth internet thing iot emerg area incred impact potenti growth cisco inc predict 50 billion connect devic 2020 howev iot easi hack compromis typic limit comput storag network capac therefor vulner attack endpoint smartphon tablet comput paper present survey major secur issu iot review categor popular regard layer architectur addit protocol use network commun manag outlin requir along exist attack threat stateoftheart solut furthermor tabul map problem solut found literatur importantli discuss blockchain underli technolog bitcoin key enabl solv mani problem paper also identifi open research challeng secur,advent smart home city internet thing iot emerge area incredible impact potential growth cisco inc predict billion connect device iot easy hack compromise typically limit compute storage network capacity vulnerable attack endpoint smartphone tablet computer paper present survey major security issue iot review categorize popular regard layer architecture addition protocol network communication management outline requirement exist attack threat stateoftheart solution furthermore tabulate map problem solution find literature importantly discuss blockchain underlie technology bitcoin key enabler solve problem paper identify open research challenge security
DDoS in the IoT: Mirai and Other Botnets,The Mirai botnet and its variants imitators are a wake-up call to the industry better secure Internet of Things devices or risk exposing infrastructure increasingly disruptive distributed denial-of-service attacks.,2017-01-01,https://doi.org/10.1109/mc.2017.201,"Constantinos Kolias, Georgios Kambourakis, Angelos Stavrou, Jeffrey Voas",1553,The Mirai botnet and its variants imitators are a wakeup call to the industry better secure Internet of Things devices or risk exposing infrastructure increasingly disruptive distributed denialofservice attacks,mirai botnet variant imit wakeup call industri better secur internet thing devic risk expos infrastructur increasingli disrupt distribut denialofservic attack,mirai botnet variant imitator wakeup industry well secure internet thing device risk expose infrastructure increasingly disruptive distribute denialofservice attack
"A Vision of IoT: Applications, Challenges, and Opportunities With China Perspective","Internet of Things (IoT), which will create a huge network billions or trillions “Things” communicating with one another, are facing many technical and application challenges. This paper introduces the status IoT development in China, including policies, R&D plans, applications, standardization. With China's perspective, this depicts such challenges on technologies, standardization, also proposes an open general architecture consisting three platforms to meet challenge. Finally, discusses opportunity prospect IoT.",2014-08-01,https://doi.org/10.1109/jiot.2014.2337336,"Shanzhi Chen, Hui Xu, Dake Liu, Bo Hu, Hucheng Wang",1047,Internet of Things IoT which will create a huge network billions or trillions Things communicating with one another are facing many technical and application challenges This paper introduces the status IoT development in China including policies RD plans applications standardization With Chinas perspective this depicts such challenges on technologies standardization also proposes an open general architecture consisting three platforms to meet challenge Finally discusses opportunity prospect IoT,internet thing iot creat huge network billion trillion thing commun one anoth face mani technic applic challeng paper introduc statu iot develop china includ polici rd plan applic standard china perspect depict challeng technolog standard also propos open gener architectur consist three platform meet challeng final discuss opportun prospect iot,internet thing iot create huge network billion trillion thing communicate face technical application challenge paper introduce status iot development china include policy rd plan application standardization chinas perspective depict challenge technology standardization propose open general architecture consist platform meet challenge finally discuss opportunity prospect iot
Blockchain Meets IoT: An Architecture for Scalable Access Management in IoT,"The Internet of Things (IoT) is stepping out its infancy into full maturity and establishing itself as a part the future Internet. One technical challenges having billions devices deployed worldwide ability to manage them. Although access management technologies exist in IoT, they are based on centralized models which introduce new variety limitations them globally. In this paper, we propose architecture for arbitrating roles permissions IoT. fully distributed control system IoT blockchain technology. backed by proof concept implementation evaluated realistic scenarios. results show that technology could be used specific scalable",2018-04-01,https://doi.org/10.1109/jiot.2018.2812239,Oscar Novo,1130,The Internet of Things IoT is stepping out its infancy into full maturity and establishing itself as a part the future Internet One technical challenges having billions devices deployed worldwide ability to manage them Although access management technologies exist in IoT they are based on centralized models which introduce new variety limitations them globally In this paper we propose architecture for arbitrating roles permissions IoT fully distributed control system IoT blockchain technology backed by proof concept implementation evaluated realistic scenarios results show that technology could be used specific scalable,internet thing iot step infanc full matur establish part futur internet one technic challeng billion devic deploy worldwid abil manag although access manag technolog exist iot base central model introduc new varieti limit global paper propos architectur arbitr role permiss iot fulli distribut control system iot blockchain technolog back proof concept implement evalu realist scenario result show technolog could use specif scalabl,internet thing iot step infancy maturity establish future internet technical challenge have billion device deploy worldwide ability manage access management technology exist iot base centralize model introduce new variety limitation globally paper propose architecture arbitrate role permission iot fully distribute control system iot blockchain technology back proof concept implementation evaluate realistic scenario result technology specific scalable
An IoT-Aware Architecture for Smart Healthcare Systems,"Over the last few years, convincing forward steps in development of Internet Things (IoT)-enabling solutions are spurring advent novel and fascinating applications. Among others, mainly radio frequency identification (RFID), wireless sensor network (WSN), smart mobile technologies leading this evolutionary trend. In wake tendency, paper proposes a novel, IoT-aware, architecture for automatic monitoring tracking patients, personnel, biomedical devices within hospitals nursing institutes. Staying true to IoT vision, we propose hospital system (SHS), which relies on different, yet complementary, technologies, specifically RFID, WSN, mobile, interoperating with each other through Constrained Application Protocol (CoAP)/IPv6 over low-power personal area (6LoWPAN)/representational state transfer (REST) infrastructure. The SHS is able collect, real time, both environmental conditions patients’ physiological parameters via an ultra-low-power hybrid sensing (HSN) composed 6LoWPAN nodes integrating UHF RFID functionalities. Sensed data delivered control center where advanced application (MA) makes them easily accessible by local remote users REST web service. simple proof concept implemented validate proposed has highlighted number key capabilities aspects novelty, represent significant step compared actual art.",2015-12-01,https://doi.org/10.1109/jiot.2015.2417684,"Luca Catarinucci, Danilo De Donno, Luca Mainetti, L. Palano, Luigi Patrono, Maria Laura Stefanizzi, Luciano Tarricone",1015,Over the last few years convincing forward steps in development of Internet Things IoTenabling solutions are spurring advent novel and fascinating applications Among others mainly radio frequency identification RFID wireless sensor network WSN smart mobile technologies leading this evolutionary trend In wake tendency paper proposes a novel IoTaware architecture for automatic monitoring tracking patients personnel biomedical devices within hospitals nursing institutes Staying true to IoT vision we propose hospital system SHS which relies on different yet complementary technologies specifically RFID WSN mobile interoperating with each other through Constrained Application Protocol CoAPIPv6 over lowpower personal area 6LoWPANrepresentational state transfer REST infrastructure The SHS is able collect real time both environmental conditions patients physiological parameters via an ultralowpower hybrid sensing HSN composed 6LoWPAN nodes integrating UHF RFID functionalities Sensed data delivered control center where advanced application MA makes them easily accessible by local remote users REST web service simple proof concept implemented validate proposed has highlighted number key capabilities aspects novelty represent significant step compared actual art,last year convinc forward step develop internet thing ioten solut spur advent novel fascin applic among other mainli radio frequenc identif rfid wireless sensor network wsn smart mobil technolog lead evolutionari trend wake tendenc paper propos novel iotawar architectur automat monitor track patient personnel biomed devic within hospit nurs institut stay true iot vision propos hospit system sh reli differ yet complementari technolog specif rfid wsn mobil interoper constrain applic protocol coapipv6 lowpow person area 6lowpanrepresent state transfer rest infrastructur sh abl collect real time environment condit patient physiolog paramet via ultralowpow hybrid sens hsn compos 6lowpan node integr uhf rfid function sens data deliv control center advanc applic make easili access local remot user rest web servic simpl proof concept implement valid propos highlight number key capabl aspect novelti repres signific step compar actual art,year convince forward step development internet thing iotenable solution spur advent novel fascinating application mainly radio frequency identification rfid wireless sensor network wsn smart mobile technology lead evolutionary trend wake tendency paper propose novel iotaware architecture automatic monitoring track patient personnel biomedical device hospital nursing institute stay true iot vision propose hospital system shs rely different complementary technology specifically rfid wsn mobile interoperating constrain application protocol lowpower personal area state transfer rest infrastructure shs able collect real time environmental condition patient physiological parameter ultralowpower hybrid sense hsn compose node integrate uhf rfid functionalities sensed datum deliver control center advanced application ma make easily accessible local remote user rest web service simple proof concept implement validate propose highlight number key capability aspect novelty represent significant step compare actual art
On blockchain and its integration with IoT. Challenges and opportunities,"In the Internet of Things (IoT) vision, conventional devices become smart and autonomous. This vision is turning into a reality thanks to advances in technology, but there are still challenges address, particularly security domain e.g., data reliability. Taking account predicted evolution IoT coming years, it necessary provide confidence this huge incoming information source. Blockchain has emerged as key technology that will transform way which we share information. Building trust distributed environments without need for authorities technological advance potential change many industries, among them. Disruptive technologies such big cloud computing have been leveraged by overcome its limitations since conception, think blockchain be one next ones. paper focuses on relationship, investigates applications, surveys most relevant work order analyze how could potentially improve IoT.",2018-11-01,https://doi.org/10.1016/j.future.2018.05.046,"Ana Reyna, Cristian Martín, Jaime Chen, Enrique Soler, Manuel Díáz",1549,In the Internet of Things IoT vision conventional devices become smart and autonomous This vision is turning into a reality thanks to advances in technology but there are still challenges address particularly security domain eg data reliability Taking account predicted evolution IoT coming years it necessary provide confidence this huge incoming information source Blockchain has emerged as key technology that will transform way which we share information Building trust distributed environments without need for authorities technological advance potential change many industries among them Disruptive technologies such big cloud computing have been leveraged by overcome its limitations since conception think blockchain be one next ones paper focuses on relationship investigates applications surveys most relevant work order analyze how could potentially improve IoT,internet thing iot vision convent devic becom smart autonom vision turn realiti thank advanc technolog still challeng address particularli secur domain eg data reliabl take account predict evolut iot come year necessari provid confid huge incom inform sourc blockchain emerg key technolog transform way share inform build trust distribut environ without need author technolog advanc potenti chang mani industri among disrupt technolog big cloud comput leverag overcom limit sinc concept think blockchain one next one paper focus relationship investig applic survey relev work order analyz could potenti improv iot,internet thing iot vision conventional device smart autonomous vision turn reality thank advance technology challenge address particularly security domain eg datum reliability take account predict evolution iot come year necessary provide confidence huge incoming information source blockchain emerge key technology transform way share information building trust distribute environment need authority technological advance potential change industry disruptive technology big cloud computing leverage overcome limitation conception think blockchain one paper focus relationship investigate application survey relevant work order analyze potentially improve iot
