Title,Abstract,Publication Date,Journal,Link,Authors,Citations,Cleaned_Abstract,Abstract_Spacy
Integration of Cloud computing and Internet of Things A survey,"Cloud computing and Internet of Things (IoT) are two very different technologies that both already part our life. Their adoption use expected to be more pervasive, making them important components the Future Internet. A novel paradigm where IoT merged together is foreseen as disruptive an enabler a large number application scenarios. In this paper, we focus attention on integration IoT, which what call CloudIoT paradigm. Many works in literature have surveyed separately and, precisely, their main properties, features, underlying technologies, open issues. However, best knowledge, these lack detailed analysis new paradigm, involves completely applications, challenges, research To bridge gap, paper provide survey IoT. Starting by analyzing basics Computing, discuss complementarity, detailing currently driving integration. Thanks applications gaining momentum: up-to-date picture literature, with specific challenges. These challenges then analyzed details show body heading. We also available terms platforms–both proprietary source–and projects implementing Finally, identify issues future directions field, expect play leading role landscape",01-03-2016,Future Generation Computer Systems,https://doi.org/10.1016/j.future.2015.09.021,"Alessio Botta, Walter de Donato, Valerio Persico, Antonio Pescapé",2068,Cloud computing and Internet of Things IoT are two very different technologies that both already part our life Their adoption use expected to be more pervasive making them important components the Future Internet A novel paradigm where IoT merged together is foreseen as disruptive an enabler a large number application scenarios In this paper we focus attention on integration IoT which what call CloudIoT paradigm Many works in literature have surveyed separately and precisely their main properties features underlying technologies open issues However best knowledge these lack detailed analysis new paradigm involves completely applications challenges research To bridge gap paper provide survey IoT Starting by analyzing basics Computing discuss complementarity detailing currently driving integration Thanks applications gaining momentum uptodate picture literature with specific challenges These challenges then analyzed details show body heading We also available terms platformsboth proprietary sourceand projects implementing Finally identify issues future directions field expect play leading role landscape,cloud computing internet thing iot different technology life adoption use expect pervasive make important component future internet novel paradigm iot merge foresee disruptive enabler large number application scenario paper focus attention integration iot cloudiot paradigm work literature survey separately precisely main property feature underlying technology open issue good knowledge lack detailed analysis new paradigm involve completely application challenge research bridge gap paper provide survey iot start analyze basic compute discuss complementarity detail currently drive integration thank application gain momentum uptodate picture literature specific challenge challenge analyze detail body head available term platformsboth proprietary sourceand project implement finally identify issue future direction field expect play lead role landscape
Integration of Cloud computing and Internet of Things A survey,"Cloud computing and Internet of Things (IoT) are two very different technologies that both already part our life. Their adoption use expected to be more pervasive, making them important components the Future Internet. A novel paradigm where IoT merged together is foreseen as disruptive an enabler a large number application scenarios. In this paper, we focus attention on integration IoT, which what call CloudIoT paradigm. Many works in literature have surveyed separately and, precisely, their main properties, features, underlying technologies, open issues. However, best knowledge, these lack detailed analysis new paradigm, involves completely applications, challenges, research To bridge gap, paper provide survey IoT. Starting by analyzing basics Computing, discuss complementarity, detailing currently driving integration. Thanks applications gaining momentum: up-to-date picture literature, with specific challenges. These challenges then analyzed details show body heading. We also available terms platforms–both proprietary source–and projects implementing Finally, identify issues future directions field, expect play leading role landscape",09-10-2015,Future Generation Computer Systems,https://doi.org/10.1016/j.future.2015.09.021,"Alessio Botta, Walter de Donato, Valerio Persico, Antonio Pescapè",2090,Cloud computing and Internet of Things IoT are two very different technologies that both already part our life Their adoption use expected to be more pervasive making them important components the Future Internet A novel paradigm where IoT merged together is foreseen as disruptive an enabler a large number application scenarios In this paper we focus attention on integration IoT which what call CloudIoT paradigm Many works in literature have surveyed separately and precisely their main properties features underlying technologies open issues However best knowledge these lack detailed analysis new paradigm involves completely applications challenges research To bridge gap paper provide survey IoT Starting by analyzing basics Computing discuss complementarity detailing currently driving integration Thanks applications gaining momentum uptodate picture literature with specific challenges These challenges then analyzed details show body heading We also available terms platformsboth proprietary sourceand projects implementing Finally identify issues future directions field expect play leading role landscape,cloud computing internet thing iot different technology life adoption use expect pervasive make important component future internet novel paradigm iot merge foresee disruptive enabler large number application scenario paper focus attention integration iot cloudiot paradigm work literature survey separately precisely main property feature underlying technology open issue good knowledge lack detailed analysis new paradigm involve completely application challenge research bridge gap paper provide survey iot start analyze basic compute discuss complementarity detail currently drive integration thank application gain momentum uptodate picture literature specific challenge challenge analyze detail body head available term platformsboth proprietary sourceand project implement finally identify issue future direction field expect play lead role landscape
Efficient MultiUser Computation Offloading for MobileEdge Cloud Computing,"Mobile-edge cloud computing is a new paradigm to provide capabilities at the edge of pervasive radio access networks in close proximity mobile users. In this paper, we first study multi-user computation offloading problem for mobile-edge multi-channel wireless interference environment. We show that it NP-hard compute centralized optimal solution, and hence adopt game theoretic approach achieving efficient distributed manner. formulate decision making among device users as game. analyze structural property admits Nash equilibrium possesses finite improvement property. then design algorithm can achieve equilibrium, derive upper bound convergence time, quantify its efficiency ratio over solutions terms two important performance metrics. further extend our scenario contention Numerical results corroborate proposed superior scale well user size increases.",01-10-2016,IEEEACM Transactions on Networking,https://doi.org/10.1109/tnet.2015.2487344,"Xu Chen, Lei Jiao, Wenzhong Li, Xiaoming Fu",2326,Mobileedge cloud computing is a new paradigm to provide capabilities at the edge of pervasive radio access networks in close proximity mobile users In this paper we first study multiuser computation offloading problem for mobileedge multichannel wireless interference environment We show that it NPhard compute centralized optimal solution and hence adopt game theoretic approach achieving efficient distributed manner formulate decision making among device users as game analyze structural property admits Nash equilibrium possesses finite improvement property then design algorithm can achieve equilibrium derive upper bound convergence time quantify its efficiency ratio over solutions terms two important performance metrics further extend our scenario contention Numerical results corroborate proposed superior scale well user size increases,mobileedge cloud computing new paradigm provide capability edge pervasive radio access network close proximity mobile user paper study multiuser computation offloading problem mobileedge multichannel wireless interference environment nphard compute centralize optimal solution adopt game theoretic approach achieve efficient distribute manner formulate decision making device user game analyze structural property admit nash equilibrium possess finite improvement property design algorithm achieve equilibrium derive upper bind convergence time quantify efficiency ratio solution term important performance metric extend scenario contention numerical result corroborate propose superior scale user size increase
Efficient MultiUser Computation Offloading for MobileEdge Cloud Computing,"Mobile-edge cloud computing is a new paradigm to provide capabilities at the edge of pervasive radio access networks in close proximity mobile users. In this paper, we first study multi-user computation offloading problem for mobile-edge multi-channel wireless interference environment. We show that it NP-hard compute centralized optimal solution, and hence adopt game theoretic approach achieving efficient distributed manner. formulate decision making among device users as game. analyze structural property admits Nash equilibrium possesses finite improvement property. then design algorithm can achieve equilibrium, derive upper bound convergence time, quantify its efficiency ratio over solutions terms two important performance metrics. further extend our scenario contention Numerical results corroborate proposed superior scale well user size increases.",26-10-2015,IEEEACM Transactions on Networking,https://doi.org/10.1109/tnet.2015.2487344,"Xu Chen, Lei Jiao, Wenzhong Li, Xiaoming Fu",2349,Mobileedge cloud computing is a new paradigm to provide capabilities at the edge of pervasive radio access networks in close proximity mobile users In this paper we first study multiuser computation offloading problem for mobileedge multichannel wireless interference environment We show that it NPhard compute centralized optimal solution and hence adopt game theoretic approach achieving efficient distributed manner formulate decision making among device users as game analyze structural property admits Nash equilibrium possesses finite improvement property then design algorithm can achieve equilibrium derive upper bound convergence time quantify its efficiency ratio over solutions terms two important performance metrics further extend our scenario contention Numerical results corroborate proposed superior scale well user size increases,mobileedge cloud computing new paradigm provide capability edge pervasive radio access network close proximity mobile user paper study multiuser computation offloading problem mobileedge multichannel wireless interference environment nphard compute centralize optimal solution adopt game theoretic approach achieve efficient distribute manner formulate decision making device user game analyze structural property admit nash equilibrium possess finite improvement property design algorithm achieve equilibrium derive upper bind convergence time quantify efficiency ratio solution term important performance metric extend scenario contention numerical result corroborate propose superior scale user size increase
The rise of big data on cloud computing Review and open research issues,"Cloud computing is a powerful technology to perform massive-scale and complex computing. It eliminates the need maintain expensive hardware, dedicated space, software. Massive growth in scale of data or big generated through cloud has been observed. Addressing challenging time-demanding task that requires large computational infrastructure ensure successful processing analysis. The rise reviewed this study. definition, characteristics, classification along with some discussions on are introduced. relationship between computing, storage systems, Hadoop also discussed. Furthermore, research challenges investigated, focus scalability, availability, integrity, transformation, quality, heterogeneity, privacy, legal regulatory issues, governance. Lastly, open issues require substantial efforts summarized.",01-01-2015,Information Systems,https://doi.org/10.1016/j.is.2014.07.006,"Ahmed I. Hashem, Ibrar Yaqoob, Nor Badrul Anuar, Salimah Mokhtar, Abdullah Gani, Samee U. Khan",2263,Cloud computing is a powerful technology to perform massivescale and complex computing It eliminates the need maintain expensive hardware dedicated space software Massive growth in scale of data or big generated through cloud has been observed Addressing challenging timedemanding task that requires large computational infrastructure ensure successful processing analysis The rise reviewed this study definition characteristics classification along with some discussions on are introduced relationship between computing storage systems Hadoop also discussed Furthermore research challenges investigated focus scalability availability integrity transformation quality heterogeneity privacy legal regulatory issues governance Lastly open issues require substantial efforts summarized,cloud computing powerful technology perform massivescale complex computing eliminate need maintain expensive hardware dedicated space software massive growth scale datum big generate cloud observe address challenge timedemande task require large computational infrastructure ensure successful processing analysis rise review study definition characteristic classification discussion introduce relationship computing storage system hadoop discuss furthermore research challenge investigate focus scalability availability integrity transformation quality heterogeneity privacy legal regulatory issue governance lastly open issue require substantial effort summarize
Secure integration of IoT and Cloud Computing,"Mobile Cloud Computing is a new technology which refers to an infrastructure where both data storage and processing operate outside of the mobile device. Another recent Internet Things. Things growing rapidly in field telecommunications. More specifically, IoT related with wireless The main goal interaction cooperation between things objects sent through networks fulfill objective set them as combined entity. In addition, there rapid development technologies, Things, regard communications. this paper, we present survey focus on security issues technologies. Specifically, combine two aforementioned technologies (i.e IoT) order examine common features, discover benefits their integration. Concluding, contribution technology. Thus, it shows how improves function IoT. Finally, challenges integration Computing.",01-12-2016,Future Generation Computer Systems,https://doi.org/10.1016/j.future.2016.11.031,"Christos Stergiou, Kostas E. Psannis, Byung‐Gyu Kim, Brij B. Gupta",986,Mobile Cloud Computing is a new technology which refers to an infrastructure where both data storage and processing operate outside of the mobile device Another recent Internet Things Things growing rapidly in field telecommunications More specifically IoT related with wireless The main goal interaction cooperation between things objects sent through networks fulfill objective set them as combined entity In addition there rapid development technologies Things regard communications this paper we present survey focus on security issues technologies Specifically combine two aforementioned technologies ie IoT order examine common features discover benefits their integration Concluding contribution technology Thus it shows how improves function IoT Finally challenges integration Computing,mobile cloud computing new technology refer infrastructure datum storage processing operate outside mobile device recent internet thing thing grow rapidly field telecommunication specifically iot relate wireless main goal interaction cooperation thing object send network fulfill objective set combine entity addition rapid development technology thing regard communication paper present survey focus security issue technology specifically combine aforementione technology ie iot order examine common feature discover benefit integration conclude contribution technology show improves function iot finally challenge integration computing
Secure integration of IoT and Cloud Computing,"Mobile Cloud Computing is a new technology which refers to an infrastructure where both data storage and processing operate outside of the mobile device. Another recent Internet Things. Things growing rapidly in field telecommunications. More specifically, IoT related with wireless The main goal interaction cooperation between things objects sent through networks fulfill objective set them as combined entity. In addition, there rapid development technologies, Things, regard communications. this paper, we present survey focus on security issues technologies. Specifically, combine two aforementioned technologies (i.e IoT) order examine common features, discover benefits their integration. Concluding, contribution technology. Thus, it shows how improves function IoT. Finally, challenges integration Computing.",01-01-2018,Future Generation Computer Systems,https://doi.org/10.1016/j.future.2016.11.031,"Christos Stergiou, Kostas E. Psannis, Byung‐Gyu Kim, Brij B. Gupta",979,Mobile Cloud Computing is a new technology which refers to an infrastructure where both data storage and processing operate outside of the mobile device Another recent Internet Things Things growing rapidly in field telecommunications More specifically IoT related with wireless The main goal interaction cooperation between things objects sent through networks fulfill objective set them as combined entity In addition there rapid development technologies Things regard communications this paper we present survey focus on security issues technologies Specifically combine two aforementioned technologies ie IoT order examine common features discover benefits their integration Concluding contribution technology Thus it shows how improves function IoT Finally challenges integration Computing,mobile cloud computing new technology refer infrastructure datum storage processing operate outside mobile device recent internet thing thing grow rapidly field telecommunication specifically iot relate wireless main goal interaction cooperation thing object send network fulfill objective set combine entity addition rapid development technology thing regard communication paper present survey focus security issue technology specifically combine aforementione technology ie iot order examine common feature discover benefit integration conclude contribution technology show improves function iot finally challenge integration computing
Security in cloud computing Opportunities and challenges,"The cloud computing exhibits, remarkable potential to provide cost effective, easy manage, elastic, and powerful resources on the fly, over Internet. computing, upsurges capabilities of hardware by optimal shared utilization. above mentioned features encourage organizations individual users shift their applications services cloud. Even critical infrastructure, for example, power generation distribution plants are being migrated paradigm. However, provided third-party service providers entail additional security threats. migration user’s assets (data, applications, etc.) outside administrative control in a environment where numerous collocated escalates concerns. This survey details issues that arise due very nature computing. Moreover, presents recent solutions presented literature counter issues. Furthermore, brief view vulnerabilities mobile also highlighted. In end, discussion open future research directions is presented.",01-06-2015,Information Sciences,https://doi.org/10.1016/j.ins.2015.01.025,"Mazhar Ali, Samee U. Khan, Athanasios V. Vasilakos",725,The cloud computing exhibits remarkable potential to provide cost effective easy manage elastic and powerful resources on the fly over Internet computing upsurges capabilities of hardware by optimal shared utilization above mentioned features encourage organizations individual users shift their applications services cloud Even critical infrastructure for example power generation distribution plants are being migrated paradigm However provided thirdparty service providers entail additional security threats migration users assets data applications etc outside administrative control in a environment where numerous collocated escalates concerns This survey details issues that arise due very nature computing Moreover presents recent solutions presented literature counter issues Furthermore brief view vulnerabilities mobile also highlighted In end discussion open future research directions is presented,cloud computing exhibit remarkable potential provide cost effective easy manage elastic powerful resource fly internet computing upsurge capability hardware optimal share utilization mention feature encourage organization individual user shift application service cloud critical infrastructure example power generation distribution plant migrate paradigm provide thirdparty service provider entail additional security threat migration user asset data application etc outside administrative control environment numerous collocate escalate concern survey detail issue arise nature computing present recent solution present literature counter issue furthermore brief view vulnerability mobile highlight end discussion open future research direction present
Big Data and cloud computing innovation opportunities and challenges,"Big Data has emerged in the past few years as a new paradigm providing abundant data and opportunities to improve and/or enable research decision-support applications with unprecedented value for digital earth including business, sciences engineering. At same time, presents challenges store, transport, process, mine serve data. Cloud computing provides fundamental support address shared resources computing, storage, networking analytical software; application of these fostered impressive advancements. This paper surveys two frontiers – cloud reviews advantages consequences utilizing tackling relevant science domains. From aspects general introduction, sources, challenges, technology status opportunities, following observations are offered: (i) discoveries developments; (ii) major solutions Data; (iii) Data, spatiotemporal thinking various domains drive advancement technologies requirements; (iv) intrinsic principles geospatial provide source finding technical theoretical optimize processing (v) open availability capability pose social significance (vi) weave innovations is transforming into research, engineering business values. review introduces future agenda supporting transformation volume, velocity, variety veracity values local global applications.",03-11-2016,International Journal of Digital Earth,https://doi.org/10.1080/17538947.2016.1239771,"Chaowei Yang, Qunying Huang, Zhenlong Li, Kai Liu, Fei Hu",676,Big Data has emerged in the past few years as a new paradigm providing abundant data and opportunities to improve andor enable research decisionsupport applications with unprecedented value for digital earth including business sciences engineering At same time presents challenges store transport process mine serve data Cloud computing provides fundamental support address shared resources computing storage networking analytical software application of these fostered impressive advancements This paper surveys two frontiers  cloud reviews advantages consequences utilizing tackling relevant science domains From aspects general introduction sources challenges technology status opportunities following observations are offered i discoveries developments ii major solutions Data iii Data spatiotemporal thinking various domains drive advancement technologies requirements iv intrinsic principles geospatial provide source finding technical theoretical optimize processing v open availability capability pose social significance vi weave innovations is transforming into research engineering business values review introduces future agenda supporting transformation volume velocity variety veracity values local global applications,big datum emerge past year new paradigm provide abundant datum opportunity improve andor enable research decisionsupport application unprecedented value digital earth include business science engineering time present challenge store transport process serve data cloud computing provide fundamental support address share resource compute storage network analytical software application foster impressive advancement paper survey frontier cloud review advantage consequence utilize tackle relevant science domain aspect general introduction source challenge technology status opportunity follow observation offer discoverie development ii major solution datum iii datum spatiotemporal think domain drive advancement technology requirement iv intrinsic principle geospatial provide source find technical theoretical optimize process v open availability capability pose social significance vi weave innovation transform research engineering business value review introduce future agenda support transformation volume velocity variety veracity value local global application
Next generation cloud computing New trends and research directions,"The landscape of cloud computing has significantly changed over the last decade. Not only have more providers and service offerings crowded space, but also infrastructure that was traditionally limited to single provider data centers is now evolving. In this paper, we firstly discuss changing consider use from multiple benefit decentralising away centers. These trends resulted in need for a variety new architectures will be offered by future infrastructure. are anticipated impact areas, such as connecting people devices, data-intensive computing, space self-learning systems. Finally, lay out roadmap challenges addressed realising potential next generation",23-09-2017,Future Generation Computer Systems,https://doi.org/10.1016/j.future.2017.09.020,"Blesson Varghese, Rajkumar Buyya",698,The landscape of cloud computing has significantly changed over the last decade Not only have more providers and service offerings crowded space but also infrastructure that was traditionally limited to single provider data centers is now evolving In this paper we firstly discuss changing consider use from multiple benefit decentralising away centers These trends resulted in need for a variety new architectures will be offered by future infrastructure are anticipated impact areas such as connecting people devices dataintensive computing space selflearning systems Finally lay out roadmap challenges addressed realising potential next generation,landscape cloud computing significantly change decade provider service offering crowd space infrastructure traditionally limited single provider datum center evolve paper firstly discuss change consider use multiple benefit decentralise away center trend result need variety new architecture offer future infrastructure anticipate impact area connect people device dataintensive compute space selflearning system finally lie roadmap challenge address realise potential generation
