Title,Abstract,Publication Date,Journal,Link,Authors,Citations,Cleaned_Abstract,Abstract_Spacy
Machine Learning and Deep Learning Methods for Cybersecurity,"With the development of Internet, cyber-attacks are changing rapidly and cyber security situation is not optimistic. This survey report describes key literature surveys on machine learning (ML) deep (DL) methods for network analysis intrusion detection provides a brief tutorial description each ML/DL method. Papers representing method were indexed, read, summarized based their temporal or thermal correlations. Because data so important in methods, we describe some commonly used datasets ML/DL, discuss challenges using cybersecurity provide suggestions research directions.",01-01-2018,IEEE Access,https://doi.org/10.1109/access.2018.2836950,"Yang Xin, Lingshuang Kong, Zhi Liu, Yuling Chen, Yanmiao Li, Hongliang Zhu, Mingcheng Gao, Haixia Hou, Chunhua Wang",898,With the development of Internet cyberattacks are changing rapidly and cyber security situation is not optimistic This survey report describes key literature surveys on machine learning ML deep DL methods for network analysis intrusion detection provides a brief tutorial description each MLDL method Papers representing method were indexed read summarized based their temporal or thermal correlations Because data so important in methods we describe some commonly used datasets MLDL discuss challenges using cybersecurity provide suggestions research directions,development internet cyberattack change rapidly cyber security situation optimistic survey report describe key literature survey machine learning ml deep dl method network analysis intrusion detection provide brief tutorial description mldl method paper represent method index read summarize base temporal thermal correlation datum important method describe commonly dataset mldl discuss challenge cybersecurity provide suggestion research direction
Blockchains roles in strengthening cybersecurity and protecting privacy,"This paper evaluates blockchain's roles in strengthening cybersecurity and protecting privacy. Since most of the data is currently stored cloud centers, it also compares how blockchain performs vis-vis various aspects security Key underlying mechanisms related to impacts on Internet Things (IoT) are covered. From privacy considerations, highlights blockchain-based solutions could possibly be, many aspects, superior current IoT ecosystem, which mainly relies centralized servers through service providers. Using practical applications real-world examples, argues that decentralized feature likely result a low susceptibility manipulation forgery by malicious participants. Special consideration given identity access management systems can address some key challenges associated with security. The provides detailed analysis description tracking sources insecurity supply chains devices. delves into make possible contain an breach targeted way after discovered. It discusses initiatives organizations, inter-organizational networks industries this front. A number policy implications discussed. First, order strengthen IoT, regulators obligatory for firms deploy chain, especially mission critical, have substantial national economic benefits. Second, public efforts directed at using should focus providing training stakeholders increasing investment technology. Third, one enrich ecosystem would be turn attention public–private partnerships. Finally, governments provide legal clarity more information parties engage smart contracts enforceable.",22-09-2017,Telecommunications Policy,https://doi.org/10.1016/j.telpol.2017.09.003,Nir Kshetri,561,This paper evaluates blockchains roles in strengthening cybersecurity and protecting privacy Since most of the data is currently stored cloud centers it also compares how blockchain performs visvis various aspects security Key underlying mechanisms related to impacts on Internet Things IoT are covered From privacy considerations highlights blockchainbased solutions could possibly be many aspects superior current IoT ecosystem which mainly relies centralized servers through service providers Using practical applications realworld examples argues that decentralized feature likely result a low susceptibility manipulation forgery by malicious participants Special consideration given identity access management systems can address some key challenges associated with security The provides detailed analysis description tracking sources insecurity supply chains devices delves into make possible contain an breach targeted way after discovered It discusses initiatives organizations interorganizational networks industries this front A number policy implications discussed First order strengthen IoT regulators obligatory for firms deploy chain especially mission critical have substantial national economic benefits Second public efforts directed at using should focus providing training stakeholders increasing investment technology Third one enrich ecosystem would be turn attention publicprivate partnerships Finally governments provide legal clarity more information parties engage smart contracts enforceable,paper evaluate blockchain role strengthen cybersecurity protect privacy datum currently store cloud center compare blockchain perform visvis aspect security key underlie mechanism relate impact internet thing iot cover privacy consideration highlight blockchainbase solution possibly aspect superior current iot ecosystem mainly rely centralized server service provider practical application realworld example argue decentralized feature likely result low susceptibility manipulation forgery malicious participant special consideration give identity access management system address key challenge associate security provide detailed analysis description track source insecurity supply chain device delf possible contain breach target way discover discuss initiative organization interorganizational network industry number policy implication discuss order strengthen iot regulator obligatory firm deploy chain especially mission critical substantial national economic benefit second public effort direct focus provide training stakeholder increase investment technology enrich ecosystem turn attention publicprivate partnership finally government provide legal clarity information party engage smart contract enforceable
Constructing Norms for Global Cybersecurity,"On February 16, 2016, a U.S. court ordered Apple to circumvent the security features of an iPhone 5C used by one terrorists who committed San Bernardino shootings. refused. It argued that breaking encryption for phone could not be done without undermining more generally. made public appeal “everyone step back and consider implications” having “back door” key unlock any phone—which governments (and others) deploy track users or access their data. The government eventually withdrew its suit after F.B.I. hired outside party phone. But incident sparked wide-ranging debate over appropriate standards behavior companies like customers in constructing using information communication technologies (ICTs). That debate, turn, is part much larger conversation. Essential as Internet is, “rules road” cyberspace are often unclear have become focus serious conflicts.",01-07-2016,American Journal of International Law,https://doi.org/10.1017/s0002930000016894,"Martha Finnemore, Duncan B. Hollis",313,On February 16 2016 a US court ordered Apple to circumvent the security features of an iPhone 5C used by one terrorists who committed San Bernardino shootings refused It argued that breaking encryption for phone could not be done without undermining more generally made public appeal everyone step back and consider implications having back door key unlock any phonewhich governments and others deploy track users or access their data The government eventually withdrew its suit after FBI hired outside party phone But incident sparked wideranging debate over appropriate standards behavior companies like customers in constructing using information communication technologies ICTs That debate turn is part much larger conversation Essential as Internet is rules road cyberspace are often unclear have become focus serious conflicts,february court order apple circumvent security feature iphone terrorist commit san bernardino shooting refuse argue break encryption phone undermine generally public appeal step consider implication have door key unlock phonewhich government deploy track user access datum government eventually withdraw suit fbi hire outside party phone incident spark wideranging debate appropriate standard behavior company like customer construct information communication technology ict debate turn large conversation essential internet rule road cyberspace unclear focus conflict
The Cybersecurity Landscape in Industrial Control Systems,"Industrial control systems (ICSs) are transitioning from legacy-electromechanical-based to modern information and communication technology (ICT)-based creating a close coupling between cyber physical components. In this paper, we explore the ICS cybersecurity landscape including: 1) key principles unique aspects of operation; 2) brief history cyberattacks on ICS; 3) an overview security assessment; 4) survey “uniquely-ICS” testbeds that capture interactions various layers 5) current trends in attacks defenses.",16-03-2016,Proceedings of the IEEE,https://doi.org/10.1109/jproc.2015.2512235,"Stephen McLaughlin, Charalambos Konstantinou, Xueyang Wang, Lucas Davi, Ahmad‐Reza Sadeghi, Michail Maniatakos, Ramesh Karri",308,Industrial control systems ICSs are transitioning from legacyelectromechanicalbased to modern information and communication technology ICTbased creating a close coupling between cyber physical components In this paper we explore the ICS cybersecurity landscape including 1 key principles unique aspects of operation 2 brief history cyberattacks on ICS 3 an overview security assessment 4 survey uniquelyICS testbeds that capture interactions various layers 5 current trends in attacks defenses,industrial control system icss transition legacyelectromechanicalbased modern information communication technology ictbase create close coupling cyber physical component paper explore ic cybersecurity landscape include key principle unique aspect operation brief history cyberattack ics overview security assessment survey uniquelyic testbed capture interaction layer current trend attack defense
Investigating the impact of cybersecurity policy awareness on employees cybersecurity behavior,"As internet technology and mobile applications increase in volume complexity, malicious cyber-attacks are evolving, as a result society is facing greater security risks cyberspace more than ever before. This study has extended the published literature on cybersecurity by theoretically defining conceptual domains of employees’ behavior, developed tested operational measures to advance information behavior research workplace. A framework proposed using survey results from 579 business managers professionals. Structural equation modeling ANOVA procedures employed test hypotheses. The show that when employees aware their company’s policy procedures, they competent manage tasks those who not companies’ policies. also indicates an organizational environment positively influences threat appraisal coping abilities, which turn, contribute compliance behavior.",02-11-2018,International Journal of Information Management,https://doi.org/10.1016/j.ijinfomgt.2018.10.017,"Ling Li, Wu He, Li Da Xu, Ivan K. Ash, Mohd Anwar, Xiaohong Yuan",225,As internet technology and mobile applications increase in volume complexity malicious cyberattacks are evolving as a result society is facing greater security risks cyberspace more than ever before This study has extended the published literature on cybersecurity by theoretically defining conceptual domains of employees behavior developed tested operational measures to advance information behavior research workplace A framework proposed using survey results from 579 business managers professionals Structural equation modeling ANOVA procedures employed test hypotheses The show that when employees aware their companys policy procedures they competent manage tasks those who not companies policies also indicates an organizational environment positively influences threat appraisal coping abilities which turn contribute compliance behavior,internet technology mobile application increase volume complexity malicious cyberattack evolve result society face great security risk cyberspace study extend publish literature cybersecurity theoretically define conceptual domain employee behavior develop test operational measure advance information behavior research workplace framework propose survey result business manager professional structural equation model anova procedure employ test hypothese employee aware company policy procedure competent manage task company policy indicate organizational environment positively influence threat appraisal cope ability turn contribute compliance behavior
Investigating the impact of cybersecurity policy awareness on employees cybersecurity behavior,"As internet technology and mobile applications increase in volume complexity, malicious cyber-attacks are evolving, as a result society is facing greater security risks cyberspace more than ever before. This study has extended the published literature on cybersecurity by theoretically defining conceptual domains of employees’ behavior, developed tested operational measures to advance information behavior research workplace. A framework proposed using survey results from 579 business managers professionals. Structural equation modeling ANOVA procedures employed test hypotheses. The show that when employees aware their company’s policy procedures, they competent manage tasks those who not companies’ policies. also indicates an organizational environment positively influences threat appraisal coping abilities, which turn, contribute compliance behavior.",01-04-2019,International Journal of Information Management,https://doi.org/10.1016/j.ijinfomgt.2018.10.017,"Ling Li, Wu He, Li Da Xu, Ivan K. Ash, Mohd Anwar, Xiaohong Yuan",219,As internet technology and mobile applications increase in volume complexity malicious cyberattacks are evolving as a result society is facing greater security risks cyberspace more than ever before This study has extended the published literature on cybersecurity by theoretically defining conceptual domains of employees behavior developed tested operational measures to advance information behavior research workplace A framework proposed using survey results from 579 business managers professionals Structural equation modeling ANOVA procedures employed test hypotheses The show that when employees aware their companys policy procedures they competent manage tasks those who not companies policies also indicates an organizational environment positively influences threat appraisal coping abilities which turn contribute compliance behavior,internet technology mobile application increase volume complexity malicious cyberattack evolve result society face great security risk cyberspace study extend publish literature cybersecurity theoretically define conceptual domain employee behavior develop test operational measure advance information behavior research workplace framework propose survey result business manager professional structural equation model anova procedure employ test hypothese employee aware company policy procedure competent manage task company policy indicate organizational environment positively influence threat appraisal cope ability turn contribute compliance behavior
Human factors in cybersecurity examining the link between Internet addiction impulsivity attitudes towards cybersecurity and risky cybersecurity behaviours,"The present study explored the relationship between risky cybersecurity behaviours, attitudes towards in a business environment, Internet addiction, and impulsivity. 538 participants part-time or full-time employment UK completed an online questionnaire, with responses from 515 being used data analysis. survey included attitude cybercrime scale, measure of impulsivity, addiction ‘risky’ behaviours scale. results demonstrated that was significant predictor for behaviours. A positive negatively related to Finally, impulsivity revealed both attentional motor were predictors non-planning negative predictor. further step understanding individual differences may govern good practices, highlighting need focus directly on more effective training awareness mechanisms.",01-07-2017,Heliyon,https://doi.org/10.1016/j.heliyon.2017.e00346,Lee Hadlington,191,The present study explored the relationship between risky cybersecurity behaviours attitudes towards in a business environment Internet addiction and impulsivity 538 participants parttime or fulltime employment UK completed an online questionnaire with responses from 515 being used data analysis survey included attitude cybercrime scale measure of impulsivity addiction risky behaviours scale results demonstrated that was significant predictor for behaviours A positive negatively related to Finally impulsivity revealed both attentional motor were predictors nonplanning negative predictor further step understanding individual differences may govern good practices highlighting need focus directly on more effective training awareness mechanisms,present study explore relationship risky cybersecurity behaviour attitude business environment internet addiction impulsivity participant parttime fulltime employment uk complete online questionnaire response data analysis survey include attitude cybercrime scale measure impulsivity addiction risky behaviour scale result demonstrate significant predictor behaviour positive negatively relate finally impulsivity reveal attentional motor predictor nonplanne negative predictor step understand individual difference govern good practice highlight need focus directly effective training awareness mechanism
Internet of Things IoT Cybersecurity Research A Review of Current Research Topics,"As an emerging technology, the Internet of Things (IoT) revolutionized global network comprising people, smart devices, intelligent objects, data, and information. The development IoT is still in its infancy many related issues need to be solved. a unified concept embedding everything. has great chance make world higher level accessibility, integrity, availability, scalability, confidentiality, interoperability. However, how protect challenging task. System security foundation for IoT. This article systematically reviews cybersecurity. key considerations are protection integration heterogeneous devices information communication technologies (ICT). review provides useful insights researchers practitioners who interested cybersecurity IoT, including current research cybersecurity, architecture taxonomy, enabling countermeasures strategies, major applications industries, trends challenges.",01-04-2019,IEEE Internet of Things Journal,https://doi.org/10.1109/jiot.2018.2869847,"Yang Lu, Li Da Xu",428,As an emerging technology the Internet of Things IoT revolutionized global network comprising people smart devices intelligent objects data and information The development IoT is still in its infancy many related issues need to be solved a unified concept embedding everything has great chance make world higher level accessibility integrity availability scalability confidentiality interoperability However how protect challenging task System security foundation for IoT This article systematically reviews cybersecurity key considerations are protection integration heterogeneous devices information communication technologies ICT review provides useful insights researchers practitioners who interested cybersecurity IoT including current research cybersecurity architecture taxonomy enabling countermeasures strategies major applications industries trends challenges,emerge technology internet thing iot revolutionize global network comprise people smart device intelligent object datum information development iot infancy related issue need solve unified concept embed great chance world high level accessibility integrity availability scalability confidentiality interoperability protect challenge task system security foundation iot article systematically review cybersecurity key consideration protection integration heterogeneous device information communication technology ict review provide useful insight researcher practitioner interest cybersecurity iot include current research cybersecurity architecture taxonomy enable countermeasure strategy major application industry trend challenge
Cybersecurity for Industry 40 in the current literature A reference framework,"The cybersecurity issues represent a complex challenge for all companies committing to Industry 4.0 paradigm. On the other hand, characterization of concept within contexts proved be an emerging and relevant topic in recent literature. paper proposes analyse, through systematic literature review approach, way which existing state art deals with contexts. In particular, focus will on investigation main elements associated theme (i.e. asset involved into cyber-attacks, system vulnerabilities, cyber threats, risks countermeasures) those industrial where physical systems (machines, shop floors, plants) are connected each via Internet. Four areas analysis defined: definitions concepts, analysed studies, management attempts issues. Through analysis, framework features characterizing area is discussed, providing interesting evidences future research applications.",01-10-2018,Computers in Industry,https://doi.org/10.1016/j.compind.2018.09.004,"Marianna Lezzi, Mariangela Lazoi, Angelo Corallo",318,The cybersecurity issues represent a complex challenge for all companies committing to Industry 40 paradigm On the other hand characterization of concept within contexts proved be an emerging and relevant topic in recent literature paper proposes analyse through systematic literature review approach way which existing state art deals with contexts In particular focus will on investigation main elements associated theme ie asset involved into cyberattacks system vulnerabilities cyber threats risks countermeasures those industrial where physical systems machines shop floors plants are connected each via Internet Four areas analysis defined definitions concepts analysed studies management attempts issues Through analysis framework features characterizing area is discussed providing interesting evidences future research applications,cybersecurity issue represent complex challenge company commit industry paradigm hand characterization concept contexts prove emerge relevant topic recent literature paper propose analyse systematic literature review approach way exist state art deal context particular focus investigation main element associate theme ie asset involve cyberattack system vulnerability cyber threat risk countermeasure industrial physical system machines shop floor plant connect internet area analysis define definition concept analyse study management attempt issue analysis framework feature characterize area discuss provide interesting evidence future research application
Cybersecurity in healthcare A systematic review of modern threats and trends,"The adoption of healthcare technology is arduous, and it requires planning implementation time. Healthcare organizations are vulnerable to modern trends threats because has not kept up with threats.The objective this systematic review identify cybersecurity trends, including ransomware, possible solutions by querying academic literature.The reviewers conducted three separate searches through the CINAHL PubMed (MEDLINE) Nursing Allied Health Source via ProQuest databases. Using key words Boolean operators, database filters, hand screening, we identified 31 articles that met review.The analysis showed industry lags behind in security. Like other industries, should clearly define duties, establish clear procedures for upgrading software handling a data breach, use VLANs deauthentication cloud-based computing, train their users open suspicious code.The prime target medical information theft as leading industries securing vital data. It imperative time funding invested maintaining ensuring protection confidentially patient from unauthorized access.",21-02-2017,Technology and Health Care,https://doi.org/10.3233/thc-161263,"Clemens Scott Kruse, Benjamin Frederick, Taylor Jacobson, D. Kyle Monticone",287,The adoption of healthcare technology is arduous and it requires planning implementation time Healthcare organizations are vulnerable to modern trends threats because has not kept up with threatsThe objective this systematic review identify cybersecurity trends including ransomware possible solutions by querying academic literatureThe reviewers conducted three separate searches through the CINAHL PubMed MEDLINE Nursing Allied Health Source via ProQuest databases Using key words Boolean operators database filters hand screening we identified 31 articles that met reviewThe analysis showed industry lags behind in security Like other industries should clearly define duties establish clear procedures for upgrading software handling a data breach use VLANs deauthentication cloudbased computing train their users open suspicious codeThe prime target medical information theft as leading industries securing vital data It imperative time funding invested maintaining ensuring protection confidentially patient from unauthorized access,adoption healthcare technology arduous require plan implementation time healthcare organization vulnerable modern trend threat keep threatsthe objective systematic review identify cybersecurity trend include ransomware possible solution query academic literaturethe reviewer conduct separate search cinahl pubmed medline nursing ally health source proquest database key word boolean operator database filter hand screen identify article meet reviewthe analysis show industry lag security like industry clearly define duty establish clear procedure upgrade software handle data breach use vlan deauthentication cloudbase computing train user open suspicious codethe prime target medical information theft lead industry secure vital datum imperative time funding invest maintain ensure protection confidentially patient unauthorized access
