Title,Abstract,Publication Date,Journal,Link,Authors,Citations,Cleaned_Abstract,Abstract_Spacy
Research contributions in humancomputer interaction,"column Share on Research contributions in human-computer interaction Authors: Jacob O. Wobbrock University of Washington WashingtonView Profile , Julie A. Kientz Authors Info & Claims InteractionsVolume 23Issue 3May + June 2016 pp 38–44https://doi.org/10.1145/2907069Published:26 April 2016Publication History 102citation22,398DownloadsMetricsTotal Citations102Total Downloads22,398Last 12 Months6,719Last 6 weeks342 Get Citation AlertsNew Alert added!This alert has been successfully added and will be sent to:You notified whenever a record that you have chosen cited.To manage your preferences, click the button below.Manage my Alert!Please log to account Save BinderSave BinderCreate New BinderNameCancelCreateExport CitationPublisher SiteGet Access",26-04-2016,Interactions,https://doi.org/10.1145/2907069,"Jacob O. Wobbrock, Julie A. Kientz",202,column Share on Research contributions in humancomputer interaction Authors Jacob O Wobbrock University of Washington WashingtonView Profile  Julie A Kientz Authors Info  Claims InteractionsVolume 23Issue 3May  June 2016 pp 3844httpsdoiorg1011452907069Published26 April 2016Publication History 102citation22398DownloadsMetricsTotal Citations102Total Downloads22398Last 12 Months6719Last 6 weeks342 Get Citation AlertsNew Alert addedThis alert has been successfully added and will be sent toYou notified whenever a record that you have chosen citedTo manage your preferences click the button belowManage my AlertPlease log to account Save BinderSave BinderCreate New BinderNameCancelCreateExport CitationPublisher SiteGet Access,column share research contribution humancomputer interaction author jacob o wobbrock university washington washingtonview profile julie kientz author info claim interactionsvolume june pp april history citation alertsnew alert addedthis alert successfully add send toyou notify record choose citedto manage preference click button belowmanage alertplease log account save bindersave bindercreate new bindernamecancelcreateexport citationpublisher siteget access
HumanComputer Interaction  INTERACT 2023,The INTERACT 2023 proceedings focus on human-computer interaction (HCI) with the theme “Design for Equality and Justice”.,01-01-2023,Lecture Notes in Computer Science,https://doi.org/10.1007/978-3-031-42293-5,"José Abdelnour-Nocera, Marta Lárusdóttir, Helen Petrie, Antonio Piccinno, Marco Winckler",217,The INTERACT 2023 proceedings focus on humancomputer interaction HCI with the theme Design for Equality and Justice,interact proceeding focus humancomputer interaction hci theme design equality justice
The Feet in HumanComputer Interaction,"Foot-operated computer interfaces have been studied since the inception of human--computer interaction. Thanks to miniaturisation and decreasing cost sensing technology, there is an increasing interest exploring this alternative input modality, but no comprehensive overview its research landscape. In survey, we review literature on operated by lower limbs. We investigate characteristics users how they affect design such interfaces. Next, describe analyse foot-based prototypes commercial systems in capture provide feedback. then interactions between from perspective actions performed these interactions. Finally, discuss our findings use them identify open questions directions for future research.",24-09-2015,ACM Computing Surveys,https://doi.org/10.1145/2816455,"Eduardo Velloso, Dominik Schmidt, Jason Alexander, Hans Gellersen, Andreas Bulling",111,Footoperated computer interfaces have been studied since the inception of humancomputer interaction Thanks to miniaturisation and decreasing cost sensing technology there is an increasing interest exploring this alternative input modality but no comprehensive overview its research landscape In survey we review literature on operated by lower limbs We investigate characteristics users how they affect design such interfaces Next describe analyse footbased prototypes commercial systems in capture provide feedback then interactions between from perspective actions performed these interactions Finally discuss our findings use them identify open questions directions for future research,footoperate computer interface study inception humancomputer interaction thank miniaturisation decrease cost sensing technology increase interest explore alternative input modality comprehensive overview research landscape survey review literature operate low limb investigate characteristic user affect design interface describe analyse footbase prototype commercial system capture provide feedback interaction perspective action perform interaction finally discuss finding use identify open question direction future research
Review of constraints on visionbased gesture recognition for humancomputer interaction,"The ability of computers to recognise hand gestures visually is essential for progress in human–computer interaction. Gesture recognition has applications ranging from sign language medical assistance virtual reality. However, gesture extremely challenging not only because its diverse contexts, multiple interpretations, and spatio‐temporal variations but also the complex non‐rigid properties hand. This study surveys major constraints on vision‐based occurring detection pre‐processing, representation feature extraction, recognition. Current challenges are explored detail.",18-11-2017,IET Computer Vision,https://doi.org/10.1049/iet-cvi.2017.0052,"Biplab Ketan Chakraborty, Debajit Sarma, M. K. Bhuyan, Karl F. MacDorman",188,The ability of computers to recognise hand gestures visually is essential for progress in humancomputer interaction Gesture recognition has applications ranging from sign language medical assistance virtual reality However gesture extremely challenging not only because its diverse contexts multiple interpretations and spatiotemporal variations but also the complex nonrigid properties hand This study surveys major constraints on visionbased occurring detection preprocessing representation feature extraction recognition Current challenges are explored detail,ability computer recognise hand gesture visually essential progress humancomputer interaction gesture recognition application range sign language medical assistance virtual reality gesture extremely challenging diverse context multiple interpretation spatiotemporal variation complex nonrigid property hand study survey major constraint visionbase occur detection preprocesse representation feature extraction recognition current challenge explore detail
Hand Gesture Recognition for Human Computer Interaction,"The use of a physical controller like mouse, keyboard for human computer interaction hinders natural interface as there is strong barrier between the user and computer. In this paper, we have designed robust marker- less hand gesture recognition system which can efficiently track both static dynamic gestures. Our translates detected into actions such opening websites launching applications VLC Player PowerPoint. used to shuffle through slides in presentation. results show that an intuitive HCI be achieved with minimum hardware requirements.",01-01-2017,Procedia Computer Science,https://doi.org/10.1016/j.procs.2017.09.092,"Aashni P Haria, Archanasri Subramanian, Nivedhitha Asokkumar, Shristi Poddar, Jyothi S. Nayak",136,The use of a physical controller like mouse keyboard for human computer interaction hinders natural interface as there is strong barrier between the user and computer In this paper we have designed robust marker less hand gesture recognition system which can efficiently track both static dynamic gestures Our translates detected into actions such opening websites launching applications VLC Player PowerPoint used to shuffle through slides in presentation results show that an intuitive HCI be achieved with minimum hardware requirements,use physical controller like mouse keyboard human computer interaction hinder natural interface strong barrier user computer paper design robust marker hand gesture recognition system efficiently track static dynamic gesture translate detect action open website launch application vlc player powerpoint shuffle slide presentation result intuitive hci achieve minimum hardware requirement
HumanComputer Interaction  INTERACT 2019,The INTERACT 2019 proceedings focus on the field of human-computer interaction (HCI). papers deal with topics such as accessibility design principles; human-robot and 3D interaction; games gamification; in public spaces; user modelling studies; etc.,01-01-2019,Lecture Notes in Computer Science,https://doi.org/10.1007/978-3-030-29387-1,"David Lamas, Fernando Loizides, Lennart E. Nacke, Helen Petrie, Marco Winckler, Panayiotis Zaphiris",116,The INTERACT 2019 proceedings focus on the field of humancomputer interaction HCI papers deal with topics such as accessibility design principles humanrobot and 3D interaction games gamification in public spaces user modelling studies etc,interact proceeding focus field humancomputer interaction hci paper deal topic accessibility design principle humanrobot interaction game gamification public space user model study etc
Intelligent human computer interaction based on non redundant EMG signal,"Human computer interaction plays an increasingly important role in our life. People need more intelligent, concise and efficient human-computer interaction. It is of great significance to optimize the process by using appropriate calculation methods. In order eliminate interference data thumb recognition based on sEMG signal interaction, simplify processing, improve working efficiency general equipment signal. gesture signals generated thumb, a method redundant electrode determination variance theory proposed. The redundancy five groups action divided into 16 levels visualized. By comparing results motion when different channels are removed, optimal channel combination obtained. Finally, two kinds classifiers suitable for field selected, classification compared, best pattern",01-06-2020,Alexandria Engineering Journal,https://doi.org/10.1016/j.aej.2020.01.015,"Ying Sun, Chao Xu, Gongfa Li, Wanfen Xu, Jianyi Kong, Du Jiang, Bo Tao, Disi Chen",171,Human computer interaction plays an increasingly important role in our life People need more intelligent concise and efficient humancomputer interaction It is of great significance to optimize the process by using appropriate calculation methods In order eliminate interference data thumb recognition based on sEMG signal interaction simplify processing improve working efficiency general equipment signal gesture signals generated thumb a method redundant electrode determination variance theory proposed The redundancy five groups action divided into 16 levels visualized By comparing results motion when different channels are removed optimal channel combination obtained Finally two kinds classifiers suitable for field selected classification compared best pattern,human computer interaction play increasingly important role life people need intelligent concise efficient humancomputer interaction great significance optimize process appropriate calculation method order eliminate interference datum thumb recognition base semg signal interaction simplify processing improve working efficiency general equipment signal gesture signal generate thumb method redundant electrode determination variance theory propose redundancy group action divide level visualize compare result motion different channel remove optimal channel combination obtain finally kind classifier suitable field select classification compare good pattern
Intelligent HumanComputer Interaction Based on Surface EMG Gesture Recognition,"Urban intelligence is an emerging concept which guides a series of infrastructure developments in modern smart cities. Human-computer interaction (HCI) the interface between residents and cities, it plays key role bridging gap applicating information technologies Hand gestures have been widely acknowledged as promising HCI method, recognition human hand using surface electromyogram (sEMG) important research topic application sEMG. However, state-of-the-art signal processing are not robust feature extraction pattern with sEMG signals, several technical problems still yet to be solved. For example, how maintain availability myoelectric control intermittent use, since qualities greatly affected by time variability, but unavoidable during daily use. How ensure reliability effectiveness system also developing good human-machine interface. In this paper, linear discriminant analysis (LDA) extreme learning machine (ELM) implemented gesture system, able reduce redundant signals improve efficiency accuracy. The characteristic map slope (CMS) extracted re-extraction method because CMS can strengthen relationship features cross domain enhance feasibility cross-time identification. This study focusing on optimizing differences recognition, experimental results beneficial reducing based framework proposed paper generalization ability long term use simplifies data collection stage before training device ready for great significance performance system.",01-01-2019,IEEE Access,https://doi.org/10.1109/access.2019.2914728,"Jinxian Qi, Guozhang Jiang, Gongfa Li, Ying Sun, Bo Tao",158,Urban intelligence is an emerging concept which guides a series of infrastructure developments in modern smart cities Humancomputer interaction HCI the interface between residents and cities it plays key role bridging gap applicating information technologies Hand gestures have been widely acknowledged as promising HCI method recognition human hand using surface electromyogram sEMG important research topic application sEMG However stateoftheart signal processing are not robust feature extraction pattern with sEMG signals several technical problems still yet to be solved For example how maintain availability myoelectric control intermittent use since qualities greatly affected by time variability but unavoidable during daily use How ensure reliability effectiveness system also developing good humanmachine interface In this paper linear discriminant analysis LDA extreme learning machine ELM implemented gesture system able reduce redundant signals improve efficiency accuracy The characteristic map slope CMS extracted reextraction method because CMS can strengthen relationship features cross domain enhance feasibility crosstime identification This study focusing on optimizing differences recognition experimental results beneficial reducing based framework proposed paper generalization ability long term use simplifies data collection stage before training device ready for great significance performance system,urban intelligence emerge concept guide series infrastructure development modern smart city humancomputer interaction hci interface resident city play key role bridge gap applicate information technology hand gesture widely acknowledge promise hci method recognition human hand surface electromyogram semg important research topic application semg stateoftheart signal processing robust feature extraction pattern semg signal technical problem solve example maintain availability myoelectric control intermittent use quality greatly affect time variability unavoidable daily use ensure reliability effectiveness system develop good humanmachine interface paper linear discriminant analysis lda extreme learning machine elm implement gesture system able reduce redundant signal improve efficiency accuracy characteristic map slope cms extract reextraction method cms strengthen relationship feature cross domain enhance feasibility crosstime identification study focus optimize difference recognition experimental result beneficial reduce base framework propose paper generalization ability long term use simplifie datum collection stage train device ready great significance performance system
From Tool to Partner The Evolution of HumanComputer Interaction,"This is the first comprehensive history of human-computer interaction (HCI). Whether you are a user-experience professional or an academic researcher, whether identify with computer science,human",01-01-2017,Synthesis Lectures on HumanCentered Informatics,https://doi.org/10.1007/978-3-031-02218-0,Jonathan Grudin,125,This is the first comprehensive history of humancomputer interaction HCI Whether you are a userexperience professional or an academic researcher whether identify with computer sciencehuman,comprehensive history humancomputer interaction hci userexperience professional academic researcher identify computer sciencehuman
Humancomputer interaction foundations and new paradigms,"This paper explores the roots of human–computer interaction as a discipline, various trends which have marked its development, and some current future challenges for research. Human–computer interaction, like any vocational sits upon three broad foundations: theoretical principles, professional practice community people. As an interdisciplinary field HCI encompass number other disciplines including psychology, computing, ergonomics, social sciences; however, it also has practical own. The evolving internal external context HCI, computers, become smaller less costly; this led to changes in nature users uses with corresponding impact on society. computers from cloud digital fabrication need design solitude. It suggests that should not just react around it, but shape those changes.",07-07-2016,Journal of Visual Languages amp Computing,https://doi.org/10.1016/j.jvlc.2016.04.001,Alan Dix,107,This paper explores the roots of humancomputer interaction as a discipline various trends which have marked its development and some current future challenges for research Humancomputer interaction like any vocational sits upon three broad foundations theoretical principles professional practice community people As an interdisciplinary field HCI encompass number other disciplines including psychology computing ergonomics social sciences however it also has practical own The evolving internal external context HCI computers become smaller less costly this led to changes in nature users uses with corresponding impact on society computers from cloud digital fabrication need design solitude It suggests that should not just react around it but shape those changes,paper explore root humancomputer interaction discipline trend mark development current future challenge research humancomputer interaction like vocational sit broad foundation theoretical principle professional practice community people interdisciplinary field hci encompass number discipline include psychology compute ergonomic social science practical evolve internal external context hci computer small costly lead change nature user use corresponding impact society computer cloud digital fabrication need design solitude suggest react shape change
