Title,Abstract,Publication Date,Journal,Link,Authors,Citations,Cleaned_Abstract,Abstract_Spacy
The Internet of Things IoT Applications investments and challenges for enterprises,"The Internet of Things (IoT), also called the Everything or Industrial Internet, is a new technology paradigm envisioned as global network machines and devices capable interacting with each other. IoT recognized one most important areas future gaining vast attention from wide range industries. This article presents five technologies that are essential in deployment successful IoT-based products services discusses three categories for enterprise applications used to enhance customer value. In addition, it examines net present value method real option approach widely justification projects illustrates how can be applied investment. Finally, this technical managerial challenges.",01-07-2015,Business Horizons,https://doi.org/10.1016/j.bushor.2015.03.008,"In Lee, Kyoochun Lee",2312,The Internet of Things IoT also called the Everything or Industrial Internet is a new technology paradigm envisioned as global network machines and devices capable interacting with each other IoT recognized one most important areas future gaining vast attention from wide range industries This article presents five technologies that are essential in deployment successful IoTbased products services discusses three categories for enterprise applications used to enhance customer value In addition it examines net present value method real option approach widely justification projects illustrates how can be applied investment Finally this technical managerial challenges,internet thing iot call industrial internet new technology paradigm envision global network machine device capable interact iot recognize important area future gain vast attention wide range industry article present technology essential deployment successful iotbase product service discuss category enterprise application enhance customer value addition examine net present value method real option approach widely justification project illustrate apply investment finally technical managerial challenge
Fog and IoT An Overview of Research Opportunities,"Fog is an emergent architecture for computing, storage, control, and networking that distributes these services closer to end users along the cloud-to-things continuum. It covers both mobile wireline scenarios, traverses across hardware software, resides on network edge but also over access networks among users, includes data plane control plane. As architecture, it supports a growing variety of applications, including those in Internet Things (IoT), fifth-generation (5G) wireless systems, embedded artificial intelligence (AI). This survey paper summarizes opportunities challenges fog, focusing primarily context IoT.",23-06-2016,IEEE Internet of Things Journal,https://doi.org/10.1109/jiot.2016.2584538,"Mung Chiang, Tao Zhang",2076,Fog is an emergent architecture for computing storage control and networking that distributes these services closer to end users along the cloudtothings continuum It covers both mobile wireline scenarios traverses across hardware software resides on network edge but also over access networks among users includes data plane control plane As architecture it supports a growing variety of applications including those in Internet Things IoT fifthgeneration 5G wireless systems embedded artificial intelligence AI This survey paper summarizes opportunities challenges fog focusing primarily context IoT,fog emergent architecture compute storage control networking distribute service close end user cloudtothing continuum cover mobile wireline scenario traverse hardware software reside network edge access network user include data plane control plane architecture support grow variety application include internet thing iot fifthgeneration g wireless system embed artificial intelligence ai survey paper summarize opportunity challenge fog focus primarily context iot
Internet of Things IoT A Literature Review,"One of the buzzwords in Information Technology is Internet Things (IoT). The future Things, which will transform real world objects into intelligent virtual objects. IoT aims to unify everything our under a common infrastructure, giving us not only control things around us, but also keeping informed state things. In Light this, present study addresses concepts through systematic review scholarly research papers, corporate white professional discussions with experts and online databases. Moreover this article focuses on definitions, geneses, basic requirements, characteristics aliases Things. main objective paper provide an overview architectures, vital technologies their usages daily life. However, manuscript give good comprehension for new researchers, who want do field (Technological GOD) facilitate knowledge accumulation efficiently.",01-01-2015,Journal of Computer and Communications,https://doi.org/10.4236/jcc.2015.35021,"Somayya Madakam, R. Ramaswamy, Siddharth Tripathi",1516,One of the buzzwords in Information Technology is Internet Things IoT The future Things which will transform real world objects into intelligent virtual objects IoT aims to unify everything our under a common infrastructure giving us not only control things around us but also keeping informed state things In Light this present study addresses concepts through systematic review scholarly research papers corporate white professional discussions with experts and online databases Moreover this article focuses on definitions geneses basic requirements characteristics aliases Things main objective paper provide an overview architectures vital technologies their usages daily life However manuscript give good comprehension for new researchers who want do field Technological GOD facilitate knowledge accumulation efficiently,buzzword information technology internet thing iot future thing transform real world object intelligent virtual object iot aim unify common infrastructure give control thing keep informed state thing light present study address concept systematic review scholarly research paper corporate white professional discussion expert online database article focus definition genese basic requirement characteristic alias thing main objective paper provide overview architecture vital technology usage daily life manuscript good comprehension new researcher want field technological god facilitate knowledge accumulation efficiently
DDoS in the IoT Mirai and Other Botnets,The Mirai botnet and its variants imitators are a wake-up call to the industry better secure Internet of Things devices or risk exposing infrastructure increasingly disruptive distributed denial-of-service attacks.,01-01-2017,Computer,https://doi.org/10.1109/mc.2017.201,"Constantinos Kolias, Georgios Kambourakis, Angelos Stavrou, Jeffrey Voas",1553,The Mirai botnet and its variants imitators are a wakeup call to the industry better secure Internet of Things devices or risk exposing infrastructure increasingly disruptive distributed denialofservice attacks,mirai botnet variant imitator wakeup industry well secure internet thing device risk expose infrastructure increasingly disruptive distribute denialofservice attack
IoT security Review blockchain solutions and open challenges,"With the advent of smart homes, cities, and everything, Internet Things (IoT) has emerged as an area incredible impact, potential, growth, with Cisco Inc. predicting to have 50 billion connected devices by 2020. However, most these IoT are easy hack compromise. Typically, limited in compute, storage, network capacity, therefore they more vulnerable attacks than other endpoint such smartphones, tablets, or computers. In this paper, we present survey major security issues for IoT. We review categorize popular regard layered architecture, addition protocols used networking, communication, management. outline requirements along existing attacks, threats, state-of-the-art solutions. Furthermore, tabulate map problems against solutions found literature. More importantly, discuss, how blockchain, which is underlying technology bitcoin, can be a key enabler solve many problems. The paper also identifies open research challenges security.",01-05-2018,Future Generation Computer Systems,https://doi.org/10.1016/j.future.2017.11.022,"Minhaj Ahmad Khan, Khaled Salah",2043,With the advent of smart homes cities and everything Internet Things IoT has emerged as an area incredible impact potential growth with Cisco Inc predicting to have 50 billion connected devices by 2020 However most these IoT are easy hack compromise Typically limited in compute storage network capacity therefore they more vulnerable attacks than other endpoint such smartphones tablets or computers In this paper we present survey major security issues for IoT We review categorize popular regard layered architecture addition protocols used networking communication management outline requirements along existing attacks threats stateoftheart solutions Furthermore tabulate map problems against solutions found literature More importantly discuss how blockchain which is underlying technology bitcoin can be a key enabler solve many problems The paper also identifies open research challenges security,advent smart home city internet thing iot emerge area incredible impact potential growth cisco inc predict billion connect device iot easy hack compromise typically limit compute storage network capacity vulnerable attack endpoint smartphone tablet computer paper present survey major security issue iot review categorize popular regard layer architecture addition protocol network communication management outline requirement exist attack threat stateoftheart solution furthermore tabulate map problem solution find literature importantly discuss blockchain underlie technology bitcoin key enabler solve problem paper identify open research challenge security
Blockchain Meets IoT An Architecture for Scalable Access Management in IoT,"The Internet of Things (IoT) is stepping out its infancy into full maturity and establishing itself as a part the future Internet. One technical challenges having billions devices deployed worldwide ability to manage them. Although access management technologies exist in IoT, they are based on centralized models which introduce new variety limitations them globally. In this paper, we propose architecture for arbitrating roles permissions IoT. fully distributed control system IoT blockchain technology. backed by proof concept implementation evaluated realistic scenarios. results show that technology could be used specific scalable",05-03-2018,IEEE Internet of Things Journal,https://doi.org/10.1109/jiot.2018.2812239,Oscar Novo,1140,The Internet of Things IoT is stepping out its infancy into full maturity and establishing itself as a part the future Internet One technical challenges having billions devices deployed worldwide ability to manage them Although access management technologies exist in IoT they are based on centralized models which introduce new variety limitations them globally In this paper we propose architecture for arbitrating roles permissions IoT fully distributed control system IoT blockchain technology backed by proof concept implementation evaluated realistic scenarios results show that technology could be used specific scalable,internet thing iot step infancy maturity establish future internet technical challenge have billion device deploy worldwide ability manage access management technology exist iot base centralize model introduce new variety limitation globally paper propose architecture arbitrate role permission iot fully distribute control system iot blockchain technology back proof concept implementation evaluate realistic scenario result technology specific scalable
An IoTAware Architecture for Smart Healthcare Systems,"Over the last few years, convincing forward steps in development of Internet Things (IoT)-enabling solutions are spurring advent novel and fascinating applications. Among others, mainly radio frequency identification (RFID), wireless sensor network (WSN), smart mobile technologies leading this evolutionary trend. In wake tendency, paper proposes a novel, IoT-aware, architecture for automatic monitoring tracking patients, personnel, biomedical devices within hospitals nursing institutes. Staying true to IoT vision, we propose hospital system (SHS), which relies on different, yet complementary, technologies, specifically RFID, WSN, mobile, interoperating with each other through Constrained Application Protocol (CoAP)/IPv6 over low-power personal area (6LoWPAN)/representational state transfer (REST) infrastructure. The SHS is able collect, real time, both environmental conditions patients’ physiological parameters via an ultra-low-power hybrid sensing (HSN) composed 6LoWPAN nodes integrating UHF RFID functionalities. Sensed data delivered control center where advanced application (MA) makes them easily accessible by local remote users REST web service. simple proof concept implemented validate proposed has highlighted number key capabilities aspects novelty, represent significant step compared actual art.",01-12-2015,IEEE Internet of Things Journal,https://doi.org/10.1109/jiot.2015.2417684,"Luca Catarinucci, Danilo De Donno, Luca Mainetti, L. Palano, Luigi Patrono, Maria Laura Stefanizzi, Luciano Tarricone",1015,Over the last few years convincing forward steps in development of Internet Things IoTenabling solutions are spurring advent novel and fascinating applications Among others mainly radio frequency identification RFID wireless sensor network WSN smart mobile technologies leading this evolutionary trend In wake tendency paper proposes a novel IoTaware architecture for automatic monitoring tracking patients personnel biomedical devices within hospitals nursing institutes Staying true to IoT vision we propose hospital system SHS which relies on different yet complementary technologies specifically RFID WSN mobile interoperating with each other through Constrained Application Protocol CoAPIPv6 over lowpower personal area 6LoWPANrepresentational state transfer REST infrastructure The SHS is able collect real time both environmental conditions patients physiological parameters via an ultralowpower hybrid sensing HSN composed 6LoWPAN nodes integrating UHF RFID functionalities Sensed data delivered control center where advanced application MA makes them easily accessible by local remote users REST web service simple proof concept implemented validate proposed has highlighted number key capabilities aspects novelty represent significant step compared actual art,year convince forward step development internet thing iotenable solution spur advent novel fascinating application mainly radio frequency identification rfid wireless sensor network wsn smart mobile technology lead evolutionary trend wake tendency paper propose novel iotaware architecture automatic monitoring track patient personnel biomedical device hospital nursing institute stay true iot vision propose hospital system shs rely different complementary technology specifically rfid wsn mobile interoperating constrain application protocol lowpower personal area state transfer rest infrastructure shs able collect real time environmental condition patient physiological parameter ultralowpower hybrid sense hsn compose node integrate uhf rfid functionalities sensed datum deliver control center advanced application ma make easily accessible local remote user rest web service simple proof concept implement validate propose highlight number key capability aspect novelty represent significant step compare actual art
On blockchain and its integration with IoT Challenges and opportunities,"In the Internet of Things (IoT) vision, conventional devices become smart and autonomous. This vision is turning into a reality thanks to advances in technology, but there are still challenges address, particularly security domain e.g., data reliability. Taking account predicted evolution IoT coming years, it necessary provide confidence this huge incoming information source. Blockchain has emerged as key technology that will transform way which we share information. Building trust distributed environments without need for authorities technological advance potential change many industries, among them. Disruptive technologies such big cloud computing have been leveraged by overcome its limitations since conception, think blockchain be one next ones. paper focuses on relationship, investigates applications, surveys most relevant work order analyze how could potentially improve IoT.",01-11-2018,Future Generation Computer Systems,https://doi.org/10.1016/j.future.2018.05.046,"Ana Reyna, Cristian Martín, Jaime Chen, Enrique Soler, Manuel Díáz",1549,In the Internet of Things IoT vision conventional devices become smart and autonomous This vision is turning into a reality thanks to advances in technology but there are still challenges address particularly security domain eg data reliability Taking account predicted evolution IoT coming years it necessary provide confidence this huge incoming information source Blockchain has emerged as key technology that will transform way which we share information Building trust distributed environments without need for authorities technological advance potential change many industries among them Disruptive technologies such big cloud computing have been leveraged by overcome its limitations since conception think blockchain be one next ones paper focuses on relationship investigates applications surveys most relevant work order analyze how could potentially improve IoT,internet thing iot vision conventional device smart autonomous vision turn reality thank advance technology challenge address particularly security domain eg datum reliability take account predict evolution iot come year necessary provide confidence huge incoming information source blockchain emerge key technology transform way share information building trust distribute environment need authority technological advance potential change industry disruptive technology big cloud computing leverage overcome limitation conception think blockchain one paper focus relationship investigate application survey relevant work order analyze potentially improve iot
Secure integration of IoT and Cloud Computing,"Mobile Cloud Computing is a new technology which refers to an infrastructure where both data storage and processing operate outside of the mobile device. Another recent Internet Things. Things growing rapidly in field telecommunications. More specifically, IoT related with wireless The main goal interaction cooperation between things objects sent through networks fulfill objective set them as combined entity. In addition, there rapid development technologies, Things, regard communications. this paper, we present survey focus on security issues technologies. Specifically, combine two aforementioned technologies (i.e IoT) order examine common features, discover benefits their integration. Concluding, contribution technology. Thus, it shows how improves function IoT. Finally, challenges integration Computing.",01-12-2016,Future Generation Computer Systems,https://doi.org/10.1016/j.future.2016.11.031,"Christos Stergiou, Kostas E. Psannis, Byung‐Gyu Kim, Brij B. Gupta",986,Mobile Cloud Computing is a new technology which refers to an infrastructure where both data storage and processing operate outside of the mobile device Another recent Internet Things Things growing rapidly in field telecommunications More specifically IoT related with wireless The main goal interaction cooperation between things objects sent through networks fulfill objective set them as combined entity In addition there rapid development technologies Things regard communications this paper we present survey focus on security issues technologies Specifically combine two aforementioned technologies ie IoT order examine common features discover benefits their integration Concluding contribution technology Thus it shows how improves function IoT Finally challenges integration Computing,mobile cloud computing new technology refer infrastructure datum storage processing operate outside mobile device recent internet thing thing grow rapidly field telecommunication specifically iot relate wireless main goal interaction cooperation thing object send network fulfill objective set combine entity addition rapid development technology thing regard communication paper present survey focus security issue technology specifically combine aforementione technology ie iot order examine common feature discover benefit integration conclude contribution technology show improves function iot finally challenge integration computing
Blockchain for IoT security and privacy The case study of a smart home,"Internet of Things (IoT) security and privacy remain a major challenge, mainly due to the massive scale distributed nature IoT networks. Blockchain-based approaches provide decentralized privacy, yet they involve significant energy, delay, computational overhead that is not suitable for most resource-constrained devices. In our previous work, we presented lightweight instantiation BC particularly geared use in by eliminating Proof Work (POW) concept coins. Our approach was exemplified smart home setting consists three main tiers namely: cloud storage, overlay, home. this paper delve deeper outline various core components functions tier. Each equipped with an always online, high resource device, known as “miner” responsible handling all communication within external The miner also preserves private secure BC, used controlling auditing communications. We show proposed BC-based framework thoroughly analysing its respect fundamental goals confidentiality, integrity, availability. Finally, present simulation results highlight overheads (in terms traffic, processing time energy consumption) introduced are insignificant relative gains.",01-03-2017,2017 IEEE International Conference on Pervasive Computing and Communications Workshops PerCom Workshops,https://doi.org/10.1109/percomw.2017.7917634,"Ali Dorri, Salil S. Kanhere, Raja Jurdak, Praveen Gauravaram",1461,Internet of Things IoT security and privacy remain a major challenge mainly due to the massive scale distributed nature IoT networks Blockchainbased approaches provide decentralized privacy yet they involve significant energy delay computational overhead that is not suitable for most resourceconstrained devices In our previous work we presented lightweight instantiation BC particularly geared use in by eliminating Proof Work POW concept coins Our approach was exemplified smart home setting consists three main tiers namely cloud storage overlay home this paper delve deeper outline various core components functions tier Each equipped with an always online high resource device known as miner responsible handling all communication within external The miner also preserves private secure BC used controlling auditing communications We show proposed BCbased framework thoroughly analysing its respect fundamental goals confidentiality integrity availability Finally present simulation results highlight overheads in terms traffic processing time energy consumption introduced are insignificant relative gains,internet thing iot security privacy remain major challenge mainly massive scale distribute nature iot network blockchainbase approach provide decentralized privacy involve significant energy delay computational overhead suitable resourceconstraine device previous work present lightweight instantiation bc particularly gear use eliminate proof work pow concept coin approach exemplified smart home setting consist main tier cloud storage overlay home paper delve deep outline core component function tier equip online high resource device know miner responsible handle communication external miner preserve private secure bc control auditing communication propose bcbased framework thoroughly analyse respect fundamental goal confidentiality integrity availability finally present simulation result highlight overhead term traffic processing time energy consumption introduce insignificant relative gain
