Title,Abstract,Publication Date,Journal,Link,Authors,Citations,Cleaned_Abstract,Abstract_Spacy
A Survey of Research on Cloud Robotics and Automation,"The Cloud infrastructure and its extensive set of Internet-accessible resources has potential to provide significant benefits robots automation systems.We consider systems that rely on data or code from a network support their operation, i.e., where not all sensing, computation, memory is integrated into standalone system.This survey organized around four the Cloud: 1) Big Data: access libraries images, maps, trajectories, descriptive data; 2) Computing: parallel grid computing demand for statistical analysis, learning, motion planning; 3) Collective Robot Learning: sharing control policies, outcomes; 4) Human Computation: use crowdsourcing tap human skills analyzing images video, classification, error recovery.The can also improve by providing to: a) datasets, publications, models, benchmarks, simulation tools; b) open competitions designs systems; c) open-source software.This includes over 150 references results challenges.A website with new developments updates available at: http://goldberg.berkeley.edu/cloud-robotics/Note Practitioners-Most still operate independently using onboard memory, programming.Emerging advances increasing availability networking in ""Cloud"" suggests approaches processing performed remotely dynamic global datasets range functions.This paper surveys research date.",01-04-2015,IEEE Transactions on Automation Science and Engineering,https://doi.org/10.1109/tase.2014.2376492,"Ben Kehoe, Sachin Patil, Pieter Abbeel, Ken Goldberg",751,The Cloud infrastructure and its extensive set of Internetaccessible resources has potential to provide significant benefits robots automation systemsWe consider systems that rely on data or code from a network support their operation ie where not all sensing computation memory is integrated into standalone systemThis survey organized around four the Cloud 1 Big Data access libraries images maps trajectories descriptive data 2 Computing parallel grid computing demand for statistical analysis learning motion planning 3 Collective Robot Learning sharing control policies outcomes 4 Human Computation use crowdsourcing tap human skills analyzing images video classification error recoveryThe can also improve by providing to a datasets publications models benchmarks simulation tools b open competitions designs systems c opensource softwareThis includes over 150 references results challengesA website with new developments updates available at httpgoldbergberkeleyeducloudroboticsNote PractitionersMost still operate independently using onboard memory programmingEmerging advances increasing availability networking in Cloud suggests approaches processing performed remotely dynamic global datasets range functionsThis paper surveys research date,cloud infrastructure extensive set internetaccessible resource potential provide significant benefit robot automation systemswe consider system rely datum code network support operation ie sense computation memory integrate standalone systemthis survey organize cloud big datum access librarie image map trajectory descriptive datum compute parallel grid computing demand statistical analysis learn motion plan collective robot learn sharing control policy outcome human computation use crowdsource tap human skill analyze image video classification error recoverythe improve provide dataset publication model benchmark simulation tool b open competition design system c opensource softwarethis include reference result challengesa website new development update available httpgoldbergberkeleyeducloudroboticsnote practitionersmost operate independently onboard memory programmingemerging advance increase availability networking cloud suggest approach process perform remotely dynamic global dataset range functionsthis paper survey research date
Robotic Process Automation Contemporary themes and challenges,"Through the application of Robotic Process Automation (RPA) organisations aim to increase their operational efficiency. In RPA, robots, or ‘bots’ for short, represent software agents capable interacting with systems by mimicking user actions, thus alleviating workload human workforce. RPA has already seen significant uptake in practice; solution technologies are offered multiple vendors. Contrasting this early practical adoption is hitherto relative lack attention academic literature. As a consequence, lacks sound theoretical foundations that allow objective reasoning around its and development. This, turn, hinders initiatives achieving meaningful advances field. This paper presents structured literature review identifies number contemporary, RPA-related themes challenges future research.",19-12-2019,Computers in Industry,https://doi.org/10.1016/j.compind.2019.103162,"Rehan Syed, Suriadi Suriadi, Michael Adams, Wasana Bandara, Sander J. J. Leemans, Chun Ouyang, Arthur H. M. ter Hofstede, Inge van de Weerd, Moe Thandar Wynn, Hajo A. Reijers",360,Through the application of Robotic Process Automation RPA organisations aim to increase their operational efficiency In RPA robots or bots for short represent software agents capable interacting with systems by mimicking user actions thus alleviating workload human workforce RPA has already seen significant uptake in practice solution technologies are offered multiple vendors Contrasting this early practical adoption is hitherto relative lack attention academic literature As a consequence lacks sound theoretical foundations that allow objective reasoning around its and development This turn hinders initiatives achieving meaningful advances field This paper presents structured literature review identifies number contemporary RPArelated themes challenges future research,application robotic process automation rpa organisation aim increase operational efficiency rpa robot bot short represent software agent capable interact system mimic user action alleviate workload human workforce rpa see significant uptake practice solution technology offer multiple vendor contrast early practical adoption hitherto relative lack attention academic literature consequence lack sound theoretical foundation allow objective reasoning development turn hinder initiative achieve meaningful advance field paper present structured literature review identify number contemporary rparelate theme challenge future research
Robotic Process Automation Contemporary themes and challenges,"Through the application of Robotic Process Automation (RPA) organisations aim to increase their operational efficiency. In RPA, robots, or ‘bots’ for short, represent software agents capable interacting with systems by mimicking user actions, thus alleviating workload human workforce. RPA has already seen significant uptake in practice; solution technologies are offered multiple vendors. Contrasting this early practical adoption is hitherto relative lack attention academic literature. As a consequence, lacks sound theoretical foundations that allow objective reasoning around its and development. This, turn, hinders initiatives achieving meaningful advances field. This paper presents structured literature review identifies number contemporary, RPA-related themes challenges future research.",01-02-2020,Computers in Industry,https://doi.org/10.1016/j.compind.2019.103162,"Rehan Syed, Suriadi Suriadi, Michael Adams, Wasana Bandara, Sander J. J. Leemans, Chun Ouyang, Arthur H. M. ter Hofstede, Inge van de Weerd, Moe Thandar Wynn, Hajo A. Reijers",348,Through the application of Robotic Process Automation RPA organisations aim to increase their operational efficiency In RPA robots or bots for short represent software agents capable interacting with systems by mimicking user actions thus alleviating workload human workforce RPA has already seen significant uptake in practice solution technologies are offered multiple vendors Contrasting this early practical adoption is hitherto relative lack attention academic literature As a consequence lacks sound theoretical foundations that allow objective reasoning around its and development This turn hinders initiatives achieving meaningful advances field This paper presents structured literature review identifies number contemporary RPArelated themes challenges future research,application robotic process automation rpa organisation aim increase operational efficiency rpa robot bot short represent software agent capable interact system mimic user action alleviate workload human workforce rpa see significant uptake practice solution technology offer multiple vendor contrast early practical adoption hitherto relative lack attention academic literature consequence lack sound theoretical foundation allow objective reasoning development turn hinder initiative achieve meaningful advance field paper present structured literature review identify number contemporary rparelate theme challenge future research
Robotic process automation,"Within digital transformation, which is continuously progressing, robotic process automation (RPA) drawing much corporate attention. While RPA a popular topic in the world, academic research lacks theoretical and synoptic analysis of RPA. Conducting literature review tool analysis, we propose – holistic structured way four traits that characterize RPA, providing orientation as well focus for further research. Software robots automate processes originally performed by human work. Thus, software follow choreography technological modules control flow operators while operating within IT ecosystems using established applications. Ease-of-use adaptability allow companies to conceive implement through (agile) projects. Organizational strategy, governance structures, management systems therefore must address both direct effects automating their indirect impacts on firms.",04-11-2019,Electronic Markets,https://doi.org/10.1007/s12525-019-00365-8,"Peter Hofmann, Caroline Samp, Nils Urbach",244,Within digital transformation which is continuously progressing robotic process automation RPA drawing much corporate attention While RPA a popular topic in the world academic research lacks theoretical and synoptic analysis of RPA Conducting literature review tool analysis we propose  holistic structured way four traits that characterize RPA providing orientation as well focus for further research Software robots automate processes originally performed by human work Thus software follow choreography technological modules control flow operators while operating within IT ecosystems using established applications Easeofuse adaptability allow companies to conceive implement through agile projects Organizational strategy governance structures management systems therefore must address both direct effects automating their indirect impacts on firms,digital transformation continuously progress robotic process automation rpa draw corporate attention rpa popular topic world academic research lack theoretical synoptic analysis rpa conduct literature review tool analysis propose holistic structured way trait characterize rpa provide orientation focus research software robot automate process originally perform human work software follow choreography technological module control flow operator operate ecosystem establish application easeofuse adaptability allow company conceive implement agile project organizational strategy governance structure management system address direct effect automate indirect impact firm
Robotic Process Automation for Auditing,"ABSTRACT The advent of Robotic Process Automation (RPA) has the potential to disrupt traditional audit model. With its capability automate rules-based tasks that are repetitive and manual, RPA is expected repurpose role auditor by replacing perfunctory emphasizing higher order thinking skills will eventually lead enhanced quality. This editorial envisages future introducing concept describing usage in auditing. Moreover, considerations for RPA-based audits a series research questions presented with objective create dialogue this evolutionary area.",01-07-2018,Journal of Emerging Technologies in Accounting,https://doi.org/10.2308/jeta-10589,"Kevin Moffitt, Andrea M. Rozario, Miklos A. Vasarhelyi",255,ABSTRACT The advent of Robotic Process Automation RPA has the potential to disrupt traditional audit model With its capability automate rulesbased tasks that are repetitive and manual RPA is expected repurpose role auditor by replacing perfunctory emphasizing higher order thinking skills will eventually lead enhanced quality This editorial envisages future introducing concept describing usage in auditing Moreover considerations for RPAbased audits a series research questions presented with objective create dialogue this evolutionary area,abstract advent robotic process automation rpa potential disrupt traditional audit model capability automate rulesbase task repetitive manual rpa expect repurpose role auditor replace perfunctory emphasize high order thinking skill eventually lead enhanced quality editorial envisage future introduce concept describe usage auditing consideration rpabased audits series research question present objective create dialogue evolutionary area
Automation of a Business Process Using Robotic Process Automation RPA A Case Study,"Robotic Process Automation (RPA) emerges as software based solution to automate rules-based business processes that involve routine tasks, structured data and deterministic outcomes. Recent studies report the benefits of application RPA in terms productivity, costs, speed error reduction. Most these applications were carried out on back office process where customer is not directly involved, therefor a case study was conducted BPO provider verify results applying service with front activities. The show productivity improvement main benefit RPA, nevertheless time reduction achieved this case.",01-01-2017,Communications in Computer and Information Science,https://doi.org/10.1007/978-3-319-66963-2_7,"Santiago Aguirre, Alejandro Rodríguez",309,Robotic Process Automation RPA emerges as software based solution to automate rulesbased business processes that involve routine tasks structured data and deterministic outcomes Recent studies report the benefits of application RPA in terms productivity costs speed error reduction Most these applications were carried out on back office process where customer is not directly involved therefor a case study was conducted BPO provider verify results applying service with front activities The show productivity improvement main benefit RPA nevertheless time reduction achieved this case,robotic process automation rpa emerge software base solution automate rulesbased business process involve routine task structured datum deterministic outcome recent study report benefit application rpa term productivity cost speed error reduction application carry office process customer directly involve therefor case study conduct bpo provider verify result apply service activity productivity improvement main benefit rpa time reduction achieve case
Robotic Process Automation in Public Accounting,"SYNOPSIS We investigate the implementation of Robotic Process Automation (RPA) software in public accounting by interviewing RPA leaders at Big 4 firms. automates input, processing, and output data to streamline repetitive, mundane tasks. Many our findings are unique accounting. For instance, participants report tax services furthest along adoption, followed advisory assurance services. Furthermore, has not impacted fees, but there is concern that clients may desire fee reductions due decreased employee hours. Finally, unlike other technology implementations, adoption driven primarily lower-level employees. Similar domains, results indicate massive efficiency effectiveness gains from implementation. Also, interviewees do expect reduced head count result use. This study first discuss benefits, opportunities, challenges implementing serves as a catalyst for future research.",01-06-2019,Accounting Horizons,https://doi.org/10.2308/acch-52466,"Lauren Cooper, D. Kip Holderness, Trevor L. Sorensen, David A. Wood",218,SYNOPSIS We investigate the implementation of Robotic Process Automation RPA software in public accounting by interviewing RPA leaders at Big 4 firms automates input processing and output data to streamline repetitive mundane tasks Many our findings are unique accounting For instance participants report tax services furthest along adoption followed advisory assurance services Furthermore has not impacted fees but there is concern that clients may desire fee reductions due decreased employee hours Finally unlike other technology implementations adoption driven primarily lowerlevel employees Similar domains results indicate massive efficiency effectiveness gains from implementation Also interviewees do expect reduced head count result use This study first discuss benefits opportunities challenges implementing serves as a catalyst for future research,synopsis investigate implementation robotic process automation rpa software public accounting interview rpa leader big firm automate input processing output datum streamline repetitive mundane task finding unique accounting instance participant report tax service furth adoption follow advisory assurance service furthermore impact fee concern client desire fee reduction decrease employee hour finally unlike technology implementation adoption drive primarily lowerlevel employee similar domain result indicate massive efficiency effectiveness gain implementation interviewee expect reduce head count result use study discuss benefit opportunity challenge implement serve catalyst future research
The Future Digital Work Force Robotic Process Automation RPA,"The Robotic Process Automation (RPA) is a new wave of future technologies. one the most advanced technologies in area computers science, electronic and communications, mechanical engineering, information technology. It combination both hardware software, networking automation for doing things very simple. In this light, research manuscript investigated secondary data - which available on google, academic databases. investigation went totally 6 months, i.e., 1-1-2018 to 30-6-2018. A few empirical articles, white papers, blogs were found RPA came across compose manuscript. This study exploratory nature because contemporary phenomenon. keywords used searching database Automation, RPA, Robots, Artificial Intelligence, Blue Prism. finally discovered that Robots are becoming compulsory as part do business operations organizations globe. can bring immediate value core processes including employee payroll, status changes, hire recruitment, onboarding, accounts receivable payable, invoice processing, inventory management, report creation, software installations, migration, vendor onboarding etc. name applications. Besides, has abundant applications healthcare pharmaceuticals, financial services, outsourcing, retail, telecom, energy utilities, real estate FMCG many more sectors. To put right place operations, their allied working at background level, artificial intelligence, machine learning, deep analytics, HR virtual reality (second life), home automation, blockchain technologies, 4D printing Moreover, it covers content different start-ups companies existing world. will be good guideline academicians, researchers, students, practitioners get an overall idea.",30-01-2019,Journal of Information Systems and Technology Management,https://doi.org/10.4301/s1807-1775201916001,"Somayya Madakam, Rajesh M. Holmukhe, Durgesh Kumar Jaiswal",272,The Robotic Process Automation RPA is a new wave of future technologies one the most advanced technologies in area computers science electronic and communications mechanical engineering information technology It combination both hardware software networking automation for doing things very simple In this light research manuscript investigated secondary data  which available on google academic databases investigation went totally 6 months ie 112018 to 3062018 A few empirical articles white papers blogs were found RPA came across compose manuscript This study exploratory nature because contemporary phenomenon keywords used searching database Automation RPA Robots Artificial Intelligence Blue Prism finally discovered that Robots are becoming compulsory as part do business operations organizations globe can bring immediate value core processes including employee payroll status changes hire recruitment onboarding accounts receivable payable invoice processing inventory management report creation software installations migration vendor onboarding etc name applications Besides has abundant applications healthcare pharmaceuticals financial services outsourcing retail telecom energy utilities real estate FMCG many more sectors To put right place operations their allied working at background level artificial intelligence machine learning deep analytics HR virtual reality second life home automation blockchain technologies 4D printing Moreover it covers content different startups companies existing world will be good guideline academicians researchers students practitioners get an overall idea,robotic process automation rpa new wave future technology advanced technology area computer science electronic communication mechanical engineering information technology combination hardware software networking automation thing simple light research manuscript investigate secondary datum available google academic database investigation go totally month ie empirical article white paper blog find rpa come compose manuscript study exploratory nature contemporary phenomenon keyword search database automation rpa robot artificial intelligence blue prism finally discover robot compulsory business operation organization globe bring immediate value core process include employee payroll status change hire recruitment onboarding account receivable payable invoice process inventory management report creation software installation migration vendor onboarde etc application abundant application healthcare pharmaceutical financial service outsource retail telecom energy utility real estate fmcg sector right place operation ally working background level artificial intelligence machine learn deep analytic hr virtual reality second life home automation blockchain technology print cover content different startup company exist world good guideline academician researcher student practitioner overall idea
Turning robotic process automation into commercial success  Case OpusCapita,"OpusCapita Group is a Finnish company offering financial processes and outsourcing services to medium-sized companies large corporations. particularly focuses on comprehensive Purchase-to-Pay Order-to-Cash processes. In hopes stay ahead of the curve in process automation, betting Robotic Process Automation (RPA). This teaching case presents challenges faced by Mr. Petri Karjalainen, Senior Vice President at Group, who looking for ways introduce RPA market, provide added value new existing customers.",01-11-2016,Journal of Information Technology Teaching Cases,https://doi.org/10.1057/jittc.2016.5,"Aleksandre Asatiani, Esko Penttinen",225,OpusCapita Group is a Finnish company offering financial processes and outsourcing services to mediumsized companies large corporations particularly focuses on comprehensive PurchasetoPay OrdertoCash processes In hopes stay ahead of the curve in process automation betting Robotic Process Automation RPA This teaching case presents challenges faced by Mr Petri Karjalainen Senior Vice President at Group who looking for ways introduce RPA market provide added value new existing customers,opuscapita group finnish company offer financial process outsourcing service mediumsize company large corporation particularly focus comprehensive purchasetopay ordertocash process hope stay ahead curve process automation bet robotic process automation rpa teaching case present challenge face mr petri karjalainen senior vice president group look way introduce rpa market provide add value new exist customer
Robotic Process Automation and Artificial Intelligence in Industry 40  A Literature review,"Taking into account the technological evolution of last decades and proliferation information systems in society, today we see vast majority services provided by companies institutions as digital services. Industry 4.0 is fourth industrial revolution where technologies automation are asserting themselves major changes. Robotic Process Automation (RPA) has numerous advantages terms automating organizational business processes. Allied to these advantages, complementary use Artificial Intelligence (AI) algorithms techniques allows improve accuracy execution RPA processes extraction information, recognition, classification, forecasting optimization In this context, paper aims present a study tools associated with AI that can contribute improvement 4.0. It appears enhance their functionality objectives being extended Neural Network algorithms, Text Mining Natural Language Processing for consequent process scenarios improving operational organizations.",01-01-2021,Procedia Computer Science,https://doi.org/10.1016/j.procs.2021.01.104,"Jorge Ribeiro, Rui Lima, Tiago Eckhardt, Sara Paiva",251,Taking into account the technological evolution of last decades and proliferation information systems in society today we see vast majority services provided by companies institutions as digital services Industry 40 is fourth industrial revolution where technologies automation are asserting themselves major changes Robotic Process Automation RPA has numerous advantages terms automating organizational business processes Allied to these advantages complementary use Artificial Intelligence AI algorithms techniques allows improve accuracy execution RPA processes extraction information recognition classification forecasting optimization In this context paper aims present a study tools associated with AI that can contribute improvement 40 It appears enhance their functionality objectives being extended Neural Network algorithms Text Mining Natural Language Processing for consequent process scenarios improving operational organizations,take account technological evolution decade proliferation information system society today vast majority service provide company institution digital service industry fourth industrial revolution technology automation assert major change robotic process automation rpa numerous advantage term automate organizational business process ally advantage complementary use artificial intelligence ai algorithm technique allow improve accuracy execution rpa process extraction information recognition classification forecasting optimization context paper aim present study tool associate ai contribute improvement appear enhance functionality objective extend neural network algorithm text mining natural language processing consequent process scenario improve operational organization
