Title,Abstract,Publication Date,Journal,Link,Authors,Citations,Cleaned_Abstract,Abstract_Spacy
Guidelines for conducting systematic mapping studies in software engineering An update,"Systematic mapping studies are used to structure a research area, while systematic reviews focused on gathering and synthesizing evidence. The most recent guidelines for from 2008. Since that time, many suggestions have been made of how improve literature (SLRs). There is need evaluate researchers conduct the process identify should be updated based lessons learned existing maps SLR guidelines. To conducted (including search, study selection, analysis presentation data, etc.); improvement potentials in conducting updating accordingly. We maps, considering some practices review as well (in particular relation defining search quality assessment). In large number multiple combined, which leads different ways studies. reason combining was they differed recommendations given. frequently followed not sufficient alone. Hence, there provide an update New proposed consolidating findings.",08-04-2015,Information and Software Technology,https://doi.org/10.1016/j.infsof.2015.03.007,"Kai Petersen, Sairam Vakkalanka, Ludwik Kuźniarz",1918,Systematic mapping studies are used to structure a research area while systematic reviews focused on gathering and synthesizing evidence The most recent guidelines for from 2008 Since that time many suggestions have been made of how improve literature SLRs There is need evaluate researchers conduct the process identify should be updated based lessons learned existing maps SLR guidelines To conducted including search study selection analysis presentation data etc improvement potentials in conducting updating accordingly We maps considering some practices review as well in particular relation defining search quality assessment In large number multiple combined which leads different ways studies reason combining was they differed recommendations given frequently followed not sufficient alone Hence there provide an update New proposed consolidating findings,systematic mapping study structure research area systematic review focus gather synthesize evidence recent guideline time suggestion improve literature slrs need evaluate researcher conduct process identify update base lesson learn exist map slr guideline conduct include search study selection analysis presentation datum etc improvement potential conduct update accordingly map consider practice review particular relation define search quality assessment large number multiple combine lead different way study reason combine differ recommendation give frequently follow sufficient provide update new propose consolidating finding
Software Engineering for Machine Learning A Case Study,"Recent advances in machine learning have stimulated widespread interest within the Information Technology sector on integrating AI capabilities into software and services. This goal has forced organizations to evolve their development processes. We report a study that we conducted observing teams at Microsoft as they develop AI-based applications. consider nine-stage workflow process informed by prior experiences developing applications (e.g., search NLP) data science tools (e.g. application diagnostics bug reporting). found various united this preexisting, well-evolved, Agile-like engineering processes, providing insights about several essential challenges may face creating large-scale solutions for marketplace. collected some best practices from address these challenges. In addition, identified three aspects of domain make it fundamentally different domains: 1) discovering, managing, versioning needed is much more complex difficult than other types engineering, 2) model customization reuse require very skills are typically teams, 3) components handle distinct modules traditional - models be ""entangled"" ways experience non-monotonic error behavior. believe lessons learned will valuable organizations.",01-05-2019,2019 IEEEACM 41st International Conference on Software Engineering Software Engineering in Practice ICSESEIP,https://doi.org/10.1109/icse-seip.2019.00042,"Saleema Amershi, Andrew Begel, Christian Bird, Robert DeLine, Harald C. Gall, Ece Kamar, Nachiappan Nagappan, Besmira Nushi, Thomas Zimmermann",699,Recent advances in machine learning have stimulated widespread interest within the Information Technology sector on integrating AI capabilities into software and services This goal has forced organizations to evolve their development processes We report a study that we conducted observing teams at Microsoft as they develop AIbased applications consider ninestage workflow process informed by prior experiences developing applications eg search NLP data science tools eg application diagnostics bug reporting found various united this preexisting wellevolved Agilelike engineering processes providing insights about several essential challenges may face creating largescale solutions for marketplace collected some best practices from address these challenges In addition identified three aspects of domain make it fundamentally different domains 1 discovering managing versioning needed is much more complex difficult than other types engineering 2 model customization reuse require very skills are typically teams 3 components handle distinct modules traditional  models be entangled ways experience nonmonotonic error behavior believe lessons learned will valuable organizations,recent advance machine learning stimulate widespread interest information technology sector integrate ai capability software service goal force organization evolve development process report study conduct observe team microsoft develop aibased application consider ninestage workflow process inform prior experience develop application eg search nlp datum science tool eg application diagnostic bug reporting find unite preexist wellevolve agilelike engineering process provide insight essential challenge face create largescale solution marketplace collect good practice address challenge addition identify aspect domain fundamentally different domain discover manage versioning need complex difficult type engineer model customization reuse require skill typically team component handle distinct module traditional model entangle way experience nonmonotonic error behavior believe lesson learn valuable organization
Continuous software engineering A roadmap and agenda,"Throughout its short history, software development has been characterized by harmful disconnects between important activities such as planning, and implementation. The problem is further exacerbated the episodic infrequent performance of testing, integration releases. Several emerging phenomena reflect attempts to address these problems. For example, Continuous Integration a practice which emerged eliminate discontinuities deployment. In similar vein, recent emphasis on DevOps recognizes that operational deployment needs be continuous one. We argue continuity required business strategy development, BizDev being term we coin for this. These are even more problematic given need reliability resilience in complex data-intensive systems developed today. identify number together label ‘Continuous *’ (i.e. Star) present part an overall roadmap Software engineering. (but not necessarily rapid) engineering delivery pipeline. conclude paper with research agenda.",05-07-2015,Journal of Systems and Software,https://doi.org/10.1016/j.jss.2015.06.063,"Brian Fitzgerald, Klaas-Jan Stol",570,Throughout its short history software development has been characterized by harmful disconnects between important activities such as planning and implementation The problem is further exacerbated the episodic infrequent performance of testing integration releases Several emerging phenomena reflect attempts to address these problems For example Continuous Integration a practice which emerged eliminate discontinuities deployment In similar vein recent emphasis on DevOps recognizes that operational deployment needs be continuous one We argue continuity required business strategy development BizDev being term we coin for this These are even more problematic given need reliability resilience in complex dataintensive systems developed today identify number together label Continuous  ie Star present part an overall roadmap Software engineering but not necessarily rapid engineering delivery pipeline conclude paper with research agenda,short history software development characterize harmful disconnect important activity planning implementation problem exacerbate episodic infrequent performance testing integration release emerge phenomenon reflect attempt address problem example continuous integration practice emerge eliminate discontinuities deployment similar vein recent emphasis devop recognize operational deployment need continuous argue continuity require business strategy development bizdev term coin problematic give need reliability resilience complex dataintensive system develop today identify number label continuous ie star present overall roadmap software engineering necessarily rapid engineering delivery pipeline conclude paper research agenda
Continuous software engineering A roadmap and agenda,"Throughout its short history, software development has been characterized by harmful disconnects between important activities such as planning, and implementation. The problem is further exacerbated the episodic infrequent performance of testing, integration releases. Several emerging phenomena reflect attempts to address these problems. For example, Continuous Integration a practice which emerged eliminate discontinuities deployment. In similar vein, recent emphasis on DevOps recognizes that operational deployment needs be continuous one. We argue continuity required business strategy development, BizDev being term we coin for this. These are even more problematic given need reliability resilience in complex data-intensive systems developed today. identify number together label ‘Continuous *’ (i.e. Star) present part an overall roadmap Software engineering. (but not necessarily rapid) engineering delivery pipeline. conclude paper with research agenda.",01-01-2017,Journal of Systems and Software,https://doi.org/10.1016/j.jss.2015.06.063,"Brian Fitzgerald, Klaas-Jan Stol",563,Throughout its short history software development has been characterized by harmful disconnects between important activities such as planning and implementation The problem is further exacerbated the episodic infrequent performance of testing integration releases Several emerging phenomena reflect attempts to address these problems For example Continuous Integration a practice which emerged eliminate discontinuities deployment In similar vein recent emphasis on DevOps recognizes that operational deployment needs be continuous one We argue continuity required business strategy development BizDev being term we coin for this These are even more problematic given need reliability resilience in complex dataintensive systems developed today identify number together label Continuous  ie Star present part an overall roadmap Software engineering but not necessarily rapid engineering delivery pipeline conclude paper with research agenda,short history software development characterize harmful disconnect important activity planning implementation problem exacerbate episodic infrequent performance testing integration release emerge phenomenon reflect attempt address problem example continuous integration practice emerge eliminate discontinuities deployment similar vein recent emphasis devop recognize operational deployment need continuous argue continuity require business strategy development bizdev term coin problematic give need reliability resilience complex dataintensive system develop today identify number label continuous ie star present overall roadmap software engineering necessarily rapid engineering delivery pipeline conclude paper research agenda
Grounded theory in software engineering research,"Grounded Theory (GT) has proved an extremely useful research approach in several fields including medical sociology, nursing, education and management theory. However, GT is a complex method based on inductive paradigm that fundamentally different from the traditional hypothetico-deductive model. As there are at least three variants of GT, some ostensibly suffers slurring, where researchers adopt arbitrary subset practices not recognizable as GT. In this paper, we describe identify core set practices. We then analyze use grounded theory software engineering. carefully systematically selected 98 articles mention which 52 explicitly claim to with other 46 using techniques only. Only 16 provide detailed accounts their procedures. offer guidelines improve quality both conducting reporting studies. The latter important extension since current engineering do cover process, despite good being necessary for evaluating study informing subsequent research.",13-05-2016,Proceedings of the 38th International Conference on Software Engineering,https://doi.org/10.1145/2884781.2884833,"Klaas-Jan Stol, Paul Ralph, Brian Fitzgerald",388,Grounded Theory GT has proved an extremely useful research approach in several fields including medical sociology nursing education and management theory However GT is a complex method based on inductive paradigm that fundamentally different from the traditional hypotheticodeductive model As there are at least three variants of GT some ostensibly suffers slurring where researchers adopt arbitrary subset practices not recognizable as GT In this paper we describe identify core set practices We then analyze use grounded theory software engineering carefully systematically selected 98 articles mention which 52 explicitly claim to with other 46 using techniques only Only 16 provide detailed accounts their procedures offer guidelines improve quality both conducting reporting studies The latter important extension since current engineering do cover process despite good being necessary for evaluating study informing subsequent research,ground theory gt prove extremely useful research approach field include medical sociology nursing education management theory gt complex method base inductive paradigm fundamentally different traditional hypotheticodeductive model variant gt ostensibly suffer slur researcher adopt arbitrary subset practice recognizable gt paper describe identify core set practice analyze use ground theory software engineering carefully systematically select article mention explicitly claim technique provide detailed account procedure offer guideline improve quality conduct report study important extension current engineering cover process despite good necessary evaluate study inform subsequent research
A Survey of App Store Analysis for Software Engineering,"App Store Analysis studies information about applications obtained from app stores. stores provide a wealth of derived users that would not exist had the been distributed via previous software deployment methods. combines this non-technical with technical to learn trends and behaviours within these forms repositories. Findings have direct actionable impact on teams develop for stores, led techniques requirements engineering, release planning, design, security testing. This survey describes compares areas research explored thus far, drawing out common aspects, directions future should take address open problems challenges.",02-12-2016,IEEE Transactions on Software Engineering,https://doi.org/10.1109/tse.2016.2630689,"William H. Martin, Federica Sarro, Yue Jia, Yuanyuan Zhang, Mark Harman",409,App Store Analysis studies information about applications obtained from app stores stores provide a wealth of derived users that would not exist had the been distributed via previous software deployment methods combines this nontechnical with technical to learn trends and behaviours within these forms repositories Findings have direct actionable impact on teams develop for stores led techniques requirements engineering release planning design security testing This survey describes compares areas research explored thus far drawing out common aspects directions future should take address open problems challenges,app store analysis study information application obtain app store store provide wealth derive user exist distribute previous software deployment method combine nontechnical technical learn trend behaviour form repository finding direct actionable impact team develop store lead technique requirement engineering release planning design security testing survey describe compare area research explore far draw common aspect direction future address open problem challenge
A survey of the use of crowdsourcing in software engineering,"The term 'crowdsourcing' was initially introduced in 2006 to describe an emerging distributed problem-solving model by online workers. Since then it has been widely studied and practiced support software engineering. In this paper we provide a comprehensive survey of the use crowdsourcing engineering, seeking cover all literature on topic. We first review definitions derive our definition Crowdsourcing Software Engineering together with its taxonomy. Then summarise industrial practice engineering corresponding case studies. further analyse domains, tasks applications for platforms stakeholders involved realising Crowdsourced solutions. conclude exposing trends, open issues opportunities future research Engineering.",20-09-2016,Journal of Systems and Software,https://doi.org/10.1016/j.jss.2016.09.015,"Ke Mao, Licia Capra, Mark Harman, Yue Jia",362,The term crowdsourcing was initially introduced in 2006 to describe an emerging distributed problemsolving model by online workers Since then it has been widely studied and practiced support software engineering In this paper we provide a comprehensive survey of the use crowdsourcing engineering seeking cover all literature on topic We first review definitions derive our definition Crowdsourcing Software Engineering together with its taxonomy Then summarise industrial practice engineering corresponding case studies further analyse domains tasks applications for platforms stakeholders involved realising Crowdsourced solutions conclude exposing trends open issues opportunities future research Engineering,term crowdsourcing initially introduce describe emerge distribute problemsolving model online worker widely study practice support software engineering paper provide comprehensive survey use crowdsource engineering seek cover literature topic review definition derive definition crowdsource software engineering taxonomy summarise industrial practice engineering correspond case study analyse domain task application platform stakeholder involve realise crowdsourced solution conclude expose trend open issue opportunity future research engineering
A Survey of App Store Analysis for Software Engineering,"App Store Analysis studies information about applications obtained from app stores. stores provide a wealth of derived users that would not exist had the been distributed via previous software deployment methods. combines this non-technical with technical to learn trends and behaviours within these forms repositories. Findings have direct actionable impact on teams develop for stores, led techniques requirements engineering, release planning, design, security testing. This survey describes compares areas research explored thus far, drawing out common aspects, directions future should take address open problems challenges.",01-09-2017,IEEE Transactions on Software Engineering,https://doi.org/10.1109/tse.2016.2630689,"William H. Martin, Federica Sarro, Yue Jia, Yuanyuan Zhang, Mark Harman",404,App Store Analysis studies information about applications obtained from app stores stores provide a wealth of derived users that would not exist had the been distributed via previous software deployment methods combines this nontechnical with technical to learn trends and behaviours within these forms repositories Findings have direct actionable impact on teams develop for stores led techniques requirements engineering release planning design security testing This survey describes compares areas research explored thus far drawing out common aspects directions future should take address open problems challenges,app store analysis study information application obtain app store store provide wealth derive user exist distribute previous software deployment method combine nontechnical technical learn trend behaviour form repository finding direct actionable impact team develop store lead technique requirement engineering release planning design security testing survey describe compare area research explore far draw common aspect direction future address open problem challenge
A survey of the use of crowdsourcing in software engineering,"The term 'crowdsourcing' was initially introduced in 2006 to describe an emerging distributed problem-solving model by online workers. Since then it has been widely studied and practiced support software engineering. In this paper we provide a comprehensive survey of the use crowdsourcing engineering, seeking cover all literature on topic. We first review definitions derive our definition Crowdsourcing Software Engineering together with its taxonomy. Then summarise industrial practice engineering corresponding case studies. further analyse domains, tasks applications for platforms stakeholders involved realising Crowdsourced solutions. conclude exposing trends, open issues opportunities future research Engineering.",01-04-2017,Journal of Systems and Software,https://doi.org/10.1016/j.jss.2016.09.015,"Ke Mao, Licia Capra, Mark Harman, Yue Jia",360,The term crowdsourcing was initially introduced in 2006 to describe an emerging distributed problemsolving model by online workers Since then it has been widely studied and practiced support software engineering In this paper we provide a comprehensive survey of the use crowdsourcing engineering seeking cover all literature on topic We first review definitions derive our definition Crowdsourcing Software Engineering together with its taxonomy Then summarise industrial practice engineering corresponding case studies further analyse domains tasks applications for platforms stakeholders involved realising Crowdsourced solutions conclude exposing trends open issues opportunities future research Engineering,term crowdsourcing initially introduce describe emerge distribute problemsolving model online worker widely study practice support software engineering paper provide comprehensive survey use crowdsource engineering seek cover literature topic review definition derive definition crowdsource software engineering taxonomy summarise industrial practice engineering correspond case study analyse domain task application platform stakeholder involve realise crowdsourced solution conclude expose trend open issue opportunity future research engineering
Gamification in software engineering  A systematic mapping,"Gamification seeks for improvement of the user’s engagement, motivation, and performance when carrying out a certain task, by means incorporating game mechanics elements, thus making that task more attractive. Much research work has studied application gamification in software engineering increasing engagement results developers. The objective this paper is to carry systematic mapping field an attempt characterize state art identifying gaps opportunities further research. We carried with view finding primary studies existing literature, which were later classified analyzed according four criteria: process area addressed, elements used, type method followed, forum they published. A subjective evaluation was also evaluate them terms methodology, empirical evidence, integration organization, replicability. As result we found 29 studies, published between January 2011 June 2014. Most focus on development, lesser extent, requirements, project management, other support areas. In main, consider very simple such as points badges, few provide evidence impact gamification. Existing quite preliminary, effort analyzing SE would be needed. Future should look at addition basic ones tackle areas have not been fully studied, maintenance, or testing. share lack methodological make their proposals replicable settings. organization’s tools important challenge needs taken up field.",01-01-2015,Information and Software Technology,https://doi.org/10.1016/j.infsof.2014.08.007,"Óscar Pedreira, Félix García, Nieves R. Brisaboa, Mario Piattini",328,Gamification seeks for improvement of the users engagement motivation and performance when carrying out a certain task by means incorporating game mechanics elements thus making that task more attractive Much research work has studied application gamification in software engineering increasing engagement results developers The objective this paper is to carry systematic mapping field an attempt characterize state art identifying gaps opportunities further research We carried with view finding primary studies existing literature which were later classified analyzed according four criteria process area addressed elements used type method followed forum they published A subjective evaluation was also evaluate them terms methodology empirical evidence integration organization replicability As result we found 29 studies published between January 2011 June 2014 Most focus on development lesser extent requirements project management other support areas In main consider very simple such as points badges few provide evidence impact gamification Existing quite preliminary effort analyzing SE would be needed Future should look at addition basic ones tackle areas have not been fully studied maintenance or testing share lack methodological make their proposals replicable settings organizations tools important challenge needs taken up field,gamification seek improvement user engagement motivation performance carry certain task mean incorporate game mechanic element make task attractive research work study application gamification software engineering increase engagement result developer objective paper carry systematic mapping field attempt characterize state art identify gap opportunity research carry view find primary study exist literature later classify analyze accord criterion process area address element type method follow forum publish subjective evaluation evaluate term methodology empirical evidence integration organization replicability result find study publish january june focus development less extent requirement project management support area main consider simple point badge provide evidence impact gamification exist preliminary effort analyze se need future look addition basic one tackle area fully study maintenance testing share lack methodological proposal replicable setting organization tool important challenge need take field
